 	deve	essere	bianco	</S>
a31	0.14286466	0.12147395	0.59615934	0.13950203
a11	0.04122055	0.01926153	0.91404116	0.025476748
a31	0.04947804	0.018225437	0.89667606	0.035620492
a37	0.06190533	0.030603245	0.85165787	0.055833578
a31	0.052282438	0.029107817	0.8722834	0.04632633
a37	0.07755607	0.045097824	0.78973377	0.08761242
a31	0.122776136	0.08434709	0.6766558	0.11622097
a20	0.14480641	0.08930046	0.58756274	0.17833039
a31	0.15069883	0.12047171	0.5482198	0.18060963
a0	0.19119588	0.112985454	0.46607375	0.22974496
a31	0.17897515	0.12803923	0.44007584	0.25290978
a20	0.24829908	0.18013817	0.31516188	0.25640085
a18	0.2518809	0.15612222	0.31273356	0.2792633
</S>	0.25047886	0.20594133	0.28872827	0.25485155
