 	lo	sentii	che	arrivò	</S>
a11	0.17398629	0.22750854	0.22530425	0.24181584	0.13138507
a31	0.163779	0.19543143	0.26336402	0.3172666	0.0601589
a28	0.050038755	0.19871588	0.19118021	0.5404218	0.019643348
a37	0.065856926	0.22258335	0.22167942	0.47027096	0.019609367
a20	0.030929867	0.17431019	0.16894077	0.6051554	0.020663776
a31	0.022057014	0.17091267	0.13253924	0.6496853	0.02480572
a1	0.045592166	0.13807295	0.10272916	0.6436789	0.06992686
a0	0.055160314	0.117162	0.11691833	0.6057865	0.104972824
a17	0.045637876	0.14038506	0.13186207	0.5842492	0.09786583
a31	0.06305777	0.20240323	0.1705787	0.4575386	0.10642164
a0	0.13252239	0.17869137	0.17372778	0.3525888	0.16246966
a46	0.08773249	0.14583887	0.16170081	0.45380592	0.1509219
a31	0.12987192	0.18098167	0.17240606	0.36264405	0.15409628
a18	0.17323047	0.19013923	0.18942721	0.26239118	0.18481192
a31	0.15601684	0.1830364	0.19300227	0.27750596	0.19043854
a39	0.18980995	0.19614635	0.19643068	0.22249861	0.19511442
a31	0.18440738	0.19456701	0.19890715	0.2236027	0.19851574
a46	0.19590056	0.19873002	0.19957373	0.20641395	0.1993817
</S>	0.19462052	0.19824496	0.1998796	0.20744644	0.19980851
