 	dovevo	comprare	pane	ogni	giorno	</S>
a8	0.09096912	0.096952505	0.16266793	0.23841819	0.26105076	0.14994149
a31	0.09976222	0.082208544	0.106551826	0.31744254	0.33321562	0.0608192
a24	0.043307956	0.02562417	0.037209697	0.38728103	0.47054514	0.036031958
a37	0.04370413	0.019733723	0.040612716	0.42441568	0.44157997	0.02995373
a14	0.017292894	0.009148932	0.01812888	0.370559	0.5579863	0.02688395
a29	0.009320119	0.0075236023	0.0154687455	0.3736085	0.57238626	0.02169272
a0	0.007669443	0.008035629	0.018461263	0.37349775	0.572499	0.019836921
a29	0.009954897	0.012659227	0.0251957	0.36073366	0.56729984	0.02415672
a20	0.016462728	0.021656143	0.03733412	0.335327	0.5547979	0.03442219
a31	0.026730375	0.033588517	0.051852465	0.31494796	0.5270734	0.045807235
a24	0.10123255	0.11367801	0.12353178	0.22650039	0.31500536	0.12005187
a46	0.115770444	0.12836994	0.14737836	0.21289428	0.2610238	0.1345632
a31	0.15076193	0.15352775	0.15566516	0.1781868	0.20615134	0.155707
a0	0.15763284	0.15996061	0.16127637	0.17416312	0.18541352	0.16155355
a20	0.16028818	0.16325894	0.16421899	0.17078748	0.17721154	0.16423485
a31	0.15745205	0.1591039	0.16084923	0.17736503	0.18403688	0.16119297
a46	0.16249642	0.16294931	0.16365866	0.17140685	0.17569368	0.16379507
</S>	0.1628644	0.16375326	0.1643748	0.17065895	0.1738417	0.1645069
