 	sto	e	cucino	</S>
a31	0.34232748	0.4598774	0.13772464	0.060070552
a20	0.43502817	0.43929106	0.099828504	0.025852272
a31	0.4658655	0.44851944	0.07001964	0.015595438
a37	0.4709017	0.4750908	0.03719064	0.016816774
a18	0.47969106	0.4594373	0.04238772	0.018483914
a31	0.40116835	0.5033486	0.06559515	0.02988788
a20	0.30740452	0.49540374	0.11884042	0.078351244
a31	0.2555212	0.47318923	0.16230932	0.10898021
a28	0.21203639	0.41729078	0.19322759	0.17744525
a33	0.17512825	0.37053052	0.23704064	0.21730055
a31	0.25398195	0.28649026	0.23011921	0.22940858
</S>	0.24113105	0.27339053	0.24328624	0.2421922
