 	sto	ancora	cucinando	</S>
a20	0.19417755	0.31388283	0.3815562	0.110383496
a31	0.30399692	0.3025971	0.31055504	0.082850926
a37	0.21710972	0.35986313	0.4012639	0.021763247
a20	0.24915807	0.3648902	0.34782088	0.03813075
a31	0.22760893	0.35507485	0.40075463	0.016561631
a30	0.2516319	0.27196968	0.45945883	0.016939599
a46	0.26099685	0.25433385	0.46581474	0.018854633
a31	0.16781041	0.21029632	0.55791247	0.063980736
a39	0.16483873	0.22009563	0.5256956	0.08937008
a15	0.18069205	0.2102808	0.47890422	0.13012289
a20	0.14429478	0.22771026	0.47718972	0.15080518
a22	0.17543383	0.22336623	0.41410047	0.1870995
a31	0.22960113	0.24205106	0.31464586	0.21370195
a46	0.23433466	0.2458153	0.2772587	0.24259132
</S>	0.23436794	0.25141764	0.2636239	0.25059056
