 	non	aveva	da	stare	</S>
a37	0.21422344	0.2132436	0.06231602	0.43321693	0.07699998
a38	0.29076195	0.29358652	0.06904229	0.29440612	0.052203193
a24	0.32091892	0.3095102	0.025233064	0.31810105	0.026236705
a8	0.3420461	0.31468746	0.013313459	0.31067902	0.019273946
a17	0.33463562	0.24041511	0.0066577415	0.40071198	0.01757955
a31	0.34323406	0.24404968	0.008730248	0.37946555	0.024520403
a20	0.12439962	0.08275487	0.029881064	0.72108275	0.041881684
a8	0.13173103	0.0955978	0.019811183	0.7159448	0.036915183
a31	0.079379186	0.070391744	0.05487618	0.72665334	0.06869964
a20	0.09252206	0.09073733	0.1054123	0.59788305	0.11344527
a31	0.07366979	0.07076354	0.08930166	0.6588441	0.10742094
a8	0.1351302	0.13726076	0.14960036	0.42522228	0.1527864
a31	0.13375436	0.13637157	0.14643487	0.43394202	0.14949714
</S>	0.16444787	0.16531411	0.16970013	0.3295218	0.1710161
