 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
a31	0.03883744	0.03819182	0.078031674	0.023914928	0.032461144	0.100297384	0.14761426	0.20205945	0.22267665	0.115915224
a37	0.10033465	0.09008626	0.11190867	0.0038316236	0.0048097647	0.055184405	0.1563081	0.2098454	0.21537958	0.052311532
a31	0.10334654	0.09707144	0.10636237	0.0028220962	0.0042445664	0.06960178	0.16330945	0.20511001	0.20076038	0.047371425
a20	0.13939752	0.11880478	0.14645495	0.0048317467	0.004946362	0.021104636	0.08035424	0.21321172	0.25504473	0.015849397
a31	0.13423741	0.10254683	0.14652602	0.0045832214	0.0049058422	0.015248115	0.05535076	0.23257673	0.29053226	0.0134927435
a13	0.16341744	0.1158247	0.1791404	0.007874715	0.008017593	0.016991433	0.048109956	0.18950725	0.25606346	0.015053036
a31	0.15155058	0.089687005	0.18921573	0.014504133	0.014942282	0.022994393	0.049829293	0.19061974	0.25595573	0.020701123
a20	0.13870792	0.08015069	0.18633127	0.020203348	0.020723622	0.025330847	0.045278218	0.1787537	0.27274567	0.031774666
a17	0.12031235	0.07987331	0.17880464	0.034064475	0.03465338	0.039956186	0.060016263	0.18039382	0.22882709	0.043098558
a20	0.07729708	0.054198686	0.123535156	0.03921094	0.042428445	0.044349257	0.055033986	0.17898864	0.3158643	0.069093466
a31	0.05617812	0.037513334	0.089728065	0.027127773	0.029979846	0.033274513	0.048920058	0.21506648	0.4001036	0.06210818
a20	0.057082422	0.04799094	0.095988765	0.06961921	0.075659335	0.0756659	0.07904668	0.1755757	0.2314669	0.09190416
a31	0.06779533	0.060095306	0.091950804	0.067566894	0.07440511	0.073486656	0.07461198	0.1422413	0.23927887	0.10856771
a3	0.0531368	0.05210728	0.07306497	0.09751827	0.10337783	0.10200008	0.0999466	0.13197756	0.171996	0.114874564
a8	0.06073324	0.059399858	0.072908364	0.09265841	0.10205704	0.099306494	0.09491705	0.120203815	0.16883005	0.12898566
</S>	0.052821744	0.059734967	0.0981307	0.1093026	0.11007827	0.11005924	0.11065429	0.11668533	0.12065276	0.11188004
