 	non	ci	dimentichiamo	mai	</S>
a31	0.15958945	0.24404712	0.31124362	0.13358276	0.15153705
a20	0.34334967	0.18503788	0.39046967	0.049258217	0.031884573
a31	0.38785353	0.20227167	0.3026104	0.053701516	0.053562846
a11	0.4436629	0.18619795	0.3076459	0.037423164	0.025070105
a20	0.44804382	0.15480424	0.34243962	0.03329868	0.021413587
a31	0.44307688	0.12705578	0.38268593	0.025696935	0.021484511
a11	0.4247317	0.113312475	0.39557672	0.0360918	0.030287327
a31	0.39578208	0.09821019	0.4355607	0.04058903	0.029858038
a18	0.30578524	0.09775512	0.48024788	0.06318446	0.053027213
a42	0.27589542	0.09942532	0.51128936	0.06509236	0.048297577
a31	0.16646247	0.12236725	0.4952891	0.109216064	0.10666514
a18	0.13206096	0.1187952	0.4759931	0.14385943	0.12929134
a31	0.17292774	0.13958113	0.43415603	0.12638445	0.12695068
a39	0.11655298	0.167687	0.32359767	0.19472511	0.19743729
a31	0.14782977	0.16587594	0.31157032	0.1732348	0.20148918
a20	0.110010214	0.20913051	0.22578642	0.22465587	0.23041697
a39	0.12251502	0.1976596	0.21832602	0.21679348	0.24470589
a31	0.10522808	0.2174866	0.22679088	0.22226204	0.22823235
a14	0.10790027	0.22389777	0.21253307	0.22684586	0.22882292
a46	0.1070725	0.22255042	0.20241849	0.23009871	0.23785985
a20	0.12067586	0.21965018	0.21863224	0.22016895	0.22087272
a31	0.12004531	0.21778457	0.22550936	0.21786384	0.21879691
</S>	0.14678647	0.2132649	0.21275279	0.21350458	0.21369122
