 	lui	sapeva	che	oggi	stava	per	fare	freddo	o	freddo	e	non	poteva	fare	il	bagno	</S>
a39	0.061641246	0.09107342	0.042197783	0.044694275	0.018785762	0.01781268	0.02435674	0.04845799	0.06290565	0.066987686	0.06739998	0.07335156	0.09968501	0.093825184	0.07825889	0.0642392	0.04432691
a31	0.07330562	0.07245446	0.07100531	0.070807196	0.002950526	0.029997258	0.035326127	0.071205035	0.047203626	0.07156887	0.06932452	0.07128498	0.06857887	0.06527488	0.07499244	0.07102967	0.03369068
a20	0.060529187	0.06845248	0.042128995	0.044781994	0.0016767976	0.0068690516	0.009288827	0.04524501	0.05399436	0.0951187	0.09505889	0.10054411	0.09430722	0.08173865	0.12619138	0.059815977	0.014258436
a31	0.07965968	0.08159343	0.056095228	0.05630163	0.0017495115	0.010776537	0.01898051	0.0665364	0.05274901	0.080566294	0.078949906	0.081704184	0.07827266	0.073817044	0.09773625	0.0674	0.017111802
a21	0.0532858	0.055663425	0.04239098	0.045832813	0.0017303749	0.0055765794	0.007369289	0.04267993	0.047006316	0.097237654	0.10431765	0.113237165	0.10455166	0.07741724	0.13820015	0.050165538	0.013337421
a31	0.07860796	0.07999436	0.059671372	0.05971621	0.001803351	0.012238286	0.021479743	0.069159485	0.0521855	0.07909661	0.07735818	0.07968512	0.0766923	0.072835185	0.09137202	0.071115196	0.016989049
a13	0.053003572	0.05541033	0.04566494	0.049520276	0.0017671402	0.004598356	0.0061645205	0.04565419	0.046414647	0.097383626	0.10757923	0.11891203	0.10788453	0.06790888	0.13411042	0.04498992	0.013033412
a8	0.07667914	0.08005076	0.057925995	0.058051348	0.0018436534	0.010634448	0.018363014	0.06831858	0.053300805	0.08102353	0.07925931	0.081450365	0.078575976	0.07423085	0.09075345	0.0728507	0.016688047
a24	0.06486644	0.07584294	0.050736725	0.05218993	0.0017638521	0.0035727078	0.0053346446	0.05700657	0.05656348	0.10093087	0.0919072	0.10051252	0.088999055	0.07019647	0.103652425	0.06499916	0.010924976
a8	0.0759152	0.07635874	0.07190001	0.071877666	0.0020828112	0.015876235	0.024568938	0.07471112	0.050620373	0.076656215	0.07430717	0.076205365	0.073497675	0.06892862	0.0773178	0.07117065	0.018005403
a31	0.0721596	0.08265924	0.054254103	0.055352982	0.0016099224	0.003117676	0.004814278	0.06318422	0.05971906	0.10335094	0.08801481	0.09968055	0.08389461	0.05870985	0.10290068	0.057281796	0.009295703
a29	0.047182772	0.053491503	0.04516937	0.049933355	0.002105715	0.002744254	0.0035811688	0.045411974	0.055060003	0.12758969	0.1161257	0.1385481	0.09980472	0.044336963	0.12170325	0.038329147	0.008882337
a31	0.079611644	0.08497395	0.061395355	0.061542805	0.0016229184	0.004273072	0.007982768	0.07285589	0.056015823	0.09175892	0.08111722	0.08919889	0.07826528	0.06305318	0.092583485	0.063483246	0.0102655515
a37	0.04748275	0.050585315	0.04666967	0.050847918	0.0023260857	0.003054017	0.0039542783	0.04593228	0.04874598	0.11060661	0.11655229	0.14546323	0.10792664	0.046564713	0.13416404	0.030776126	0.008348002
a8	0.07596711	0.08357112	0.057221144	0.057409536	0.0017337839	0.004738539	0.0084532015	0.06874989	0.05563903	0.09137318	0.08333859	0.089847885	0.08098123	0.06784725	0.09336496	0.06828266	0.011480839
a31	0.06970771	0.078048505	0.049886387	0.050815087	0.0017822522	0.0030311423	0.0041652313	0.056645423	0.06358871	0.11268469	0.08891598	0.10481629	0.084565856	0.056490082	0.11137718	0.056088462	0.0073911147
a1	0.045813467	0.049825583	0.04493261	0.049033932	0.002313087	0.002943049	0.003790806	0.04465364	0.05218623	0.12173463	0.1169024	0.14455637	0.104396	0.046042036	0.12700392	0.035724845	0.008147432
a31	0.0653123	0.0737897	0.048040647	0.04935599	0.0018188257	0.0032040658	0.0043537067	0.053829174	0.061201505	0.110133335	0.09293698	0.10653773	0.08896595	0.06263667	0.11114066	0.059116464	0.007626253
a17	0.0471356	0.050469168	0.045298155	0.050055586	0.0021680011	0.0029311292	0.0038521574	0.04497588	0.05072066	0.11357647	0.115064435	0.140115	0.109056145	0.050510652	0.12869397	0.03732445	0.008052569
a31	0.0781574	0.085054286	0.05919167	0.059415683	0.0015961741	0.004298858	0.007880182	0.070903905	0.05589084	0.09148184	0.083509795	0.089977115	0.08106795	0.06472686	0.09412117	0.061274253	0.011451987
a17	0.050741557	0.053216543	0.048315953	0.05311943	0.0021358193	0.0029289147	0.0037758157	0.047496304	0.048019916	0.10209968	0.11374065	0.13768789	0.1127548	0.05026675	0.13300058	0.032387823	0.0083115585
a31	0.0758106	0.08436176	0.057412475	0.057520006	0.0016860934	0.0046394235	0.008212211	0.0688202	0.056061376	0.09257668	0.083883286	0.09086968	0.08133954	0.06608818	0.09398061	0.06500233	0.011735561
a20	0.05218335	0.05377274	0.04901784	0.053274542	0.0022528805	0.0029897168	0.0037724045	0.047753144	0.04825626	0.10224601	0.11130149	0.13918027	0.11128825	0.047680847	0.1371997	0.030176925	0.007653647
a31	0.07182432	0.08221896	0.054195475	0.054081853	0.0018306543	0.0043281773	0.007214775	0.06369265	0.05716568	0.09694272	0.084686436	0.09430117	0.081757106	0.066930026	0.09765224	0.07076383	0.010413857
a20	0.05201985	0.05204564	0.04822192	0.051854454	0.002513105	0.0032296546	0.004003174	0.04645521	0.049593233	0.103891306	0.10774309	0.14168084	0.11297518	0.04630743	0.1434143	0.02747068	0.006580917
a28	0.066437535	0.07651991	0.051808942	0.051543716	0.0018991098	0.0037171515	0.005745477	0.05741483	0.057912916	0.10375566	0.087785244	0.10053893	0.08450825	0.066369414	0.10539362	0.06968846	0.008960856
a13	0.07043389	0.08165338	0.054106437	0.053913075	0.0017688212	0.0039840355	0.006498595	0.06216009	0.05744289	0.0996384	0.086316325	0.09693047	0.08294018	0.0644529	0.10112378	0.06619908	0.010437707
a39	0.083466105	0.0876374	0.06532699	0.064770885	0.0016367179	0.004568916	0.008349501	0.07580719	0.055479366	0.09092471	0.0775394	0.087398395	0.07444819	0.057457697	0.09441919	0.060052883	0.010716509
a20	0.08592159	0.08764592	0.07215754	0.07121666	0.0015718518	0.005480898	0.010387788	0.07952967	0.054214228	0.08805486	0.07384081	0.08401499	0.07069864	0.054420933	0.09171464	0.05773561	0.011393357
a37	0.08657051	0.088575356	0.073090896	0.072012775	0.0015158778	0.0054263636	0.010486939	0.0803565	0.054766368	0.08893003	0.07322235	0.084119305	0.06980538	0.052211087	0.09162652	0.055606242	0.011677437
a23	0.087020494	0.088965245	0.07321129	0.07215312	0.0014806429	0.0052652056	0.010210689	0.08055907	0.054898795	0.08930092	0.07368606	0.08457634	0.07009501	0.05088636	0.09230705	0.053742625	0.011641003
a37	0.08850155	0.09333451	0.069633	0.0679608	0.0015054598	0.003524316	0.006538926	0.078709535	0.059337575	0.09664011	0.07363868	0.0872122	0.06950494	0.046120957	0.096728	0.050889798	0.010219658
a31	0.08706271	0.08923073	0.07417183	0.073064156	0.0014611493	0.004953953	0.009704794	0.08132159	0.05547093	0.09014962	0.07353209	0.0848064	0.069815956	0.04984765	0.09100716	0.053101346	0.011297993
a28	0.039221242	0.043916706	0.03499703	0.036824003	0.0043103006	0.004296003	0.0045976494	0.035819557	0.062268533	0.17512299	0.12145812	0.14321305	0.08295758	0.048884902	0.10676188	0.043572985	0.011777457
a31	0.08884316	0.092002235	0.060524955	0.056221105	0.0018437833	0.0030153645	0.0049750777	0.067358345	0.0675785	0.11371343	0.082703486	0.095525086	0.075107194	0.036696468	0.10358887	0.042874165	0.007428705
a8	0.028351057	0.030610781	0.022859925	0.024142096	0.007238691	0.0067111645	0.00692203	0.024754059	0.052082382	0.17230977	0.14169338	0.16743264	0.103005834	0.04525666	0.116488464	0.035617623	0.014523466
a31	0.032317832	0.041576408	0.023120847	0.02391668	0.004182681	0.004740524	0.0057389676	0.02237153	0.056489166	0.16896032	0.1511176	0.16688642	0.10966948	0.026609814	0.12750404	0.02444903	0.0103487335
a28	0.02715081	0.0319972	0.024175882	0.025348429	0.008844216	0.00858926	0.00879282	0.026491344	0.04119437	0.1570414	0.15114917	0.19251795	0.10257707	0.0356425	0.1167428	0.026005078	0.015739748
a24	0.04781887	0.05710858	0.029438635	0.029259054	0.0031235388	0.003936386	0.005014268	0.02990901	0.06904596	0.15450297	0.12448961	0.13643257	0.10637256	0.03136819	0.1294122	0.034135334	0.008632215
a31	0.09140474	0.08447439	0.06361837	0.057161193	0.0019565145	0.004094687	0.007405123	0.06443939	0.069663	0.10878631	0.082083665	0.0908927	0.07852235	0.041652467	0.099752046	0.047026053	0.007067052
a20	0.026699405	0.030469531	0.022292534	0.02399996	0.010049601	0.009279007	0.009453788	0.025072392	0.043337442	0.15774348	0.14219092	0.18044408	0.10902947	0.042046502	0.12092194	0.029659584	0.017310344
a35	0.05585944	0.06412031	0.032715622	0.03153397	0.0028987422	0.0038004902	0.005017117	0.0342058	0.073412485	0.14575067	0.118321	0.12790129	0.10216868	0.033765312	0.12310322	0.03696703	0.008458862
a31	0.07587609	0.0791919	0.044024304	0.041154116	0.0024710624	0.0033002885	0.0050735883	0.04782826	0.07671966	0.1314445	0.10418729	0.112075046	0.088385455	0.034655396	0.106317475	0.03954441	0.007751144
a23	0.026260491	0.031218303	0.021686401	0.023996212	0.012901191	0.01092156	0.011067481	0.02497819	0.04121608	0.14842516	0.1387767	0.17942777	0.11347045	0.044303816	0.12195122	0.029199734	0.020199277
a31	0.039677873	0.05066442	0.026080478	0.026852017	0.003661291	0.0042856266	0.005360019	0.026089426	0.066914015	0.16133647	0.1393804	0.15087485	0.106837064	0.029716302	0.12360069	0.028904593	0.009764479
a8	0.030272953	0.037870757	0.026672533	0.029563963	0.017290339	0.0145915765	0.014779327	0.030662687	0.039806657	0.14218336	0.12553124	0.17834555	0.10766424	0.042309776	0.114832565	0.025869574	0.021752952
a31	0.029443957	0.04199057	0.027231988	0.028243804	0.010081856	0.009356272	0.010656701	0.026840769	0.04043572	0.14673583	0.15925495	0.20059201	0.09696567	0.031077173	0.10265351	0.0198039	0.018635366
a23	0.03551963	0.04501784	0.032924872	0.035835966	0.018055635	0.016711282	0.01692884	0.037288964	0.041932132	0.14157553	0.120490834	0.17217638	0.093976334	0.038582332	0.10584139	0.025014693	0.022127304
a31	0.028486002	0.037774958	0.02361756	0.024254264	0.0059427386	0.005929857	0.006902866	0.022508707	0.04435807	0.17180708	0.16005546	0.18774125	0.10142196	0.02642217	0.11875524	0.020927513	0.013094276
a37	0.04054124	0.051392324	0.03783835	0.03992066	0.020279517	0.017313171	0.017726447	0.041309442	0.043773983	0.15618663	0.11502095	0.16038056	0.08453884	0.03338968	0.093357146	0.027134953	0.019896077
a24	0.025763733	0.032097638	0.023218205	0.024850653	0.010040449	0.008983187	0.009401854	0.024712885	0.04150372	0.15914892	0.14692031	0.19009507	0.10520653	0.037845936	0.11954036	0.023620825	0.017049642
a28	0.027230805	0.03343546	0.020716956	0.021827454	0.009607103	0.0076805586	0.008265039	0.021065684	0.039926894	0.15689553	0.1454259	0.18472144	0.105945416	0.039497774	0.137241	0.024362985	0.016153954
a31	0.022766544	0.036116295	0.018450053	0.021390121	0.013885675	0.0080146855	0.008558332	0.019054238	0.041685782	0.1676843	0.14044231	0.17859465	0.113616414	0.047344342	0.11265491	0.026417758	0.02332362
a17	0.03419772	0.051401027	0.03202845	0.03740139	0.041145306	0.022082	0.022197053	0.036582008	0.042266194	0.10074215	0.09230477	0.13756163	0.12252125	0.06704062	0.09627757	0.028416267	0.035834573
a31	0.03196742	0.04357651	0.029327666	0.033892155	0.048177347	0.025393749	0.02514979	0.0335664	0.038496424	0.07316731	0.08582302	0.12837993	0.13210468	0.08403225	0.10419957	0.032287605	0.050458148
a24	0.046970308	0.069703944	0.044876106	0.05270102	0.06655579	0.03484956	0.034720425	0.052184936	0.053256847	0.080212116	0.06888104	0.089940056	0.08902276	0.063103184	0.065623425	0.039052602	0.048345905
a37	0.0519728	0.06305343	0.046317957	0.04919357	0.079919964	0.044032983	0.043608528	0.0483539	0.049220882	0.059315387	0.058907837	0.070437156	0.08501088	0.07244732	0.074104756	0.046912987	0.057189662
a39	0.04612544	0.06319281	0.036454726	0.04292997	0.06787053	0.033985842	0.031744394	0.033854514	0.03606478	0.04254116	0.052199624	0.08119892	0.11967469	0.09997905	0.106441826	0.03958405	0.06615769
a31	0.039445516	0.05119399	0.029693935	0.036744993	0.04916204	0.026985925	0.023938758	0.02510514	0.029558677	0.040139526	0.065660045	0.11407457	0.13202102	0.10197664	0.12811731	0.037420493	0.0687614
a17	0.04663355	0.06834841	0.04001593	0.05178058	0.066666156	0.034718104	0.03173144	0.03911484	0.04250178	0.049397226	0.055629227	0.08495833	0.110956036	0.086928315	0.08714941	0.039954457	0.06351621
a20	0.051061038	0.06595145	0.04148873	0.04960132	0.07228913	0.03931538	0.03491799	0.033092126	0.035684675	0.035436343	0.047812663	0.07135966	0.10797061	0.09996583	0.09519169	0.045405533	0.073455915
a41	0.04899965	0.056752596	0.039313283	0.046935298	0.05568041	0.036491722	0.03055111	0.02751548	0.032658543	0.03277245	0.058163412	0.09213216	0.11374857	0.100073464	0.11224881	0.045622133	0.070340894
a31	0.042395134	0.0506174	0.03353629	0.041121323	0.047758423	0.03053676	0.025721632	0.024788192	0.030687217	0.03628921	0.06800869	0.111853726	0.12418879	0.099584185	0.120920375	0.042127844	0.06986482
a8	0.04894915	0.06253345	0.041257884	0.05252706	0.060542762	0.036880232	0.031469148	0.033161268	0.038184978	0.03978832	0.056568313	0.08833898	0.11206906	0.092065796	0.09619563	0.04378614	0.06568187
a31	0.050463293	0.060662538	0.043650057	0.054757625	0.06171263	0.039346956	0.0331668	0.033609416	0.038333483	0.03669165	0.054115012	0.080827974	0.10430032	0.09603287	0.094053335	0.046893492	0.07138262
</S>	0.049195692	0.065045215	0.04163787	0.05157295	0.0695755	0.037956852	0.03371508	0.03551585	0.03817637	0.040824194	0.050459225	0.076385625	0.1072409	0.09620576	0.090029076	0.044015355	0.07244852
