 	io	non	sono	ancora	pronta	bisogna	venire	alle	sette	</S>
a8	0.040240295	0.041944273	0.030222144	0.036847718	0.050669946	0.14822102	0.21735397	0.1115411	0.22817491	0.09478466
a31	0.08945345	0.085223414	0.0075931144	0.07240663	0.1228258	0.15601653	0.14204736	0.13017866	0.15204865	0.042206302
a3	0.07233254	0.07662206	0.0069775013	0.06359819	0.08639427	0.2048109	0.17536363	0.0993213	0.18699099	0.027588582
a20	0.07948817	0.07925574	0.008399636	0.06943095	0.09206968	0.1821671	0.16271417	0.12743692	0.1621238	0.036913816
a31	0.0868352	0.0813307	0.0054019867	0.06871203	0.09420322	0.21348011	0.16881171	0.10744626	0.14595547	0.027823407
a24	0.103740424	0.10307509	0.0056454656	0.073843986	0.11423973	0.22105254	0.15446305	0.07166725	0.1331318	0.019140672
a31	0.09717675	0.09591945	0.005711468	0.06718396	0.108893685	0.22299288	0.15393129	0.08046937	0.14759244	0.020128733
a17	0.12848215	0.12836237	0.0071062827	0.068787485	0.13634779	0.2168108	0.14601777	0.050983332	0.10519981	0.011902168
a31	0.13410059	0.1311204	0.008054511	0.059855014	0.1398523	0.2233815	0.13228098	0.046796344	0.11140005	0.013158291
a17	0.15170847	0.14968842	0.009402748	0.06582239	0.15340607	0.20820701	0.12501763	0.038317714	0.086410806	0.012018708
a20	0.15419242	0.14652021	0.011738007	0.06517336	0.15137829	0.20308515	0.11519825	0.03787407	0.099865995	0.0149742495
a41	0.14191253	0.1382199	0.01093674	0.06198621	0.14811629	0.21067853	0.11657989	0.038942963	0.113626234	0.019000733
a31	0.1328061	0.13233326	0.009942876	0.055667378	0.14695041	0.22759596	0.11780303	0.03434478	0.117216036	0.025340132
a17	0.15851669	0.16390598	0.01573202	0.068313524	0.16620691	0.18584424	0.109110914	0.031138044	0.079400696	0.021830922
a31	0.16134304	0.16191977	0.023326525	0.08422282	0.16273612	0.16644177	0.10742451	0.034498107	0.06790143	0.030185862
a24	0.15295565	0.1721913	0.033482604	0.09016136	0.17792019	0.14210328	0.09553447	0.039801415	0.059199106	0.036650605
a31	0.16499658	0.1683501	0.029032553	0.09466615	0.16903356	0.13989949	0.101761684	0.038708504	0.06086253	0.032688882
a32	0.1304372	0.14858557	0.050371837	0.08963257	0.17775409	0.13097505	0.095265284	0.054443352	0.06669419	0.055840887
a31	0.16144802	0.16389868	0.03905562	0.096351266	0.1796492	0.123436056	0.09922435	0.04310309	0.05237747	0.041456282
a20	0.1112345	0.11360498	0.068641655	0.08555869	0.15232638	0.12087873	0.102369875	0.07405786	0.089242525	0.08208477
a31	0.115225956	0.13017103	0.061508838	0.09633321	0.16471158	0.130956	0.101648904	0.06363531	0.06982641	0.06598277
a46	0.08963492	0.08962937	0.08027147	0.081292145	0.1078728	0.10434802	0.1205614	0.09354554	0.12054845	0.11229598
a33	0.09074497	0.099473074	0.07986473	0.091078214	0.119365826	0.11890608	0.11335079	0.08631475	0.103410244	0.09749132
</S>	0.07208843	0.0798589	0.079241544	0.07688659	0.09139557	0.10919797	0.13887708	0.101307444	0.12864317	0.12250335
