 	se	si	era	vestita	la	mia	figlia	l	avessi	portata	alla	chiesa	</S>
a31	0.032451957	0.023295134	0.051128954	0.052582376	0.057071578	0.06135576	0.07132693	0.08389336	0.10853895	0.09146863	0.091369644	0.15719156	0.11832518
a24	0.059557967	0.033787187	0.06338984	0.019335171	0.070759736	0.055162862	0.11077227	0.113397144	0.07932737	0.0835894	0.12411242	0.12471795	0.062090673
a28	0.06525365	0.041765153	0.07366521	0.025997968	0.07915102	0.06091881	0.10334718	0.09912474	0.06952399	0.10081437	0.12641896	0.10912466	0.044894297
a39	0.071019866	0.03920974	0.076548584	0.016519098	0.07890812	0.050872058	0.11388742	0.1055656	0.05806702	0.09912213	0.1383281	0.12051638	0.03143594
a17	0.080623865	0.04311903	0.08540617	0.021888416	0.08572056	0.05677481	0.10792166	0.09893357	0.06183713	0.08826141	0.122496665	0.10834101	0.038675774
a31	0.086353146	0.045670692	0.08519175	0.021195121	0.08412055	0.055705894	0.1070436	0.10068061	0.064147525	0.08129201	0.11629966	0.10958785	0.042711586
a20	0.06762995	0.023562802	0.055497874	0.00946964	0.047346033	0.026091743	0.1266191	0.12758866	0.04598486	0.09138839	0.17125942	0.1771996	0.0303619
a31	0.07184177	0.036777977	0.071837194	0.018565936	0.066681646	0.043530766	0.120610036	0.11666859	0.06571043	0.08387115	0.12981331	0.13114655	0.04294466
a17	0.05967351	0.017921587	0.040479746	0.0069166427	0.02973234	0.017089294	0.105187595	0.11823374	0.04358772	0.10730009	0.20854665	0.21697637	0.028354624
a8	0.065247305	0.026645645	0.051772166	0.013317733	0.04578496	0.032165986	0.12691708	0.12617151	0.05926185	0.09709619	0.16047312	0.16460088	0.03054555
a31	0.056634106	0.018589167	0.044424344	0.018235357	0.03900471	0.029987786	0.1305697	0.126315	0.04442999	0.092590354	0.17976467	0.19001657	0.029438261
a8	0.04980922	0.015155789	0.033278156	0.0068357773	0.024594562	0.015545097	0.09899149	0.114614524	0.04056715	0.11324469	0.22412454	0.23786953	0.025369441
a24	0.04954059	0.015504572	0.03478178	0.013780865	0.030746212	0.024656575	0.11685249	0.12960064	0.045479443	0.09659418	0.19992188	0.21088181	0.031659007
a31	0.071086	0.027603747	0.065518826	0.014521695	0.055958413	0.037429098	0.13402267	0.11917284	0.057014182	0.09047205	0.14845237	0.15307616	0.025672024
a20	0.05105466	0.014272981	0.030866068	0.00634999	0.021949992	0.012321652	0.088480875	0.0970789	0.029513812	0.11226805	0.25228083	0.2579489	0.025613302
a31	0.048941817	0.015553382	0.032067955	0.007099982	0.02414434	0.016782464	0.10202294	0.11223715	0.04076625	0.114472836	0.22719991	0.23655882	0.022152178
a41	0.04086255	0.012056045	0.023296231	0.006180557	0.016709879	0.010620627	0.07090176	0.076235555	0.019193446	0.109524444	0.288214	0.30568963	0.020515261
a31	0.038864974	0.012103906	0.025311504	0.0064463606	0.01804238	0.013245376	0.079602055	0.090455316	0.030962499	0.11245726	0.2610368	0.288365	0.023106538
a13	0.034973327	0.01077357	0.021283155	0.0063290806	0.015432927	0.010788107	0.06298164	0.067942575	0.017488044	0.102919035	0.2955835	0.33321607	0.020289063
a37	0.035948407	0.011392278	0.025252432	0.0067571374	0.017864712	0.013449089	0.07784798	0.09387987	0.030889982	0.110183105	0.25639662	0.29578412	0.024354246
a8	0.050911505	0.014731985	0.037698377	0.0075907675	0.026647346	0.019074094	0.11252834	0.11521458	0.043153383	0.104523495	0.2079881	0.23413603	0.02580201
a39	0.03442052	0.014845038	0.028473627	0.013295723	0.026084607	0.022498911	0.08181648	0.09512506	0.038744908	0.0833301	0.24081556	0.29391167	0.026637863
a20	0.05077461	0.01699152	0.046045266	0.014374183	0.039009638	0.028732404	0.12626906	0.12187317	0.03771085	0.10250352	0.18678911	0.20991269	0.01901399
a24	0.05769217	0.01704517	0.044478	0.013362754	0.03597208	0.024458839	0.13202246	0.12003125	0.034693655	0.09381584	0.19106843	0.21467496	0.0206844
a18	0.05673445	0.015286222	0.043916773	0.012676303	0.034112312	0.023457266	0.13066421	0.11723446	0.034108393	0.09236956	0.19482271	0.22330719	0.021310167
a23	0.061445743	0.018897794	0.04812444	0.014201486	0.038656335	0.025681099	0.13391374	0.11927827	0.035986714	0.094168276	0.18324475	0.20523195	0.021169366
a24	0.044489205	0.015563695	0.03533349	0.0144395875	0.031675946	0.02371403	0.110503845	0.11246348	0.032544807	0.08679062	0.21740091	0.2531878	0.021892605
a31	0.050451238	0.014885965	0.043132514	0.013772635	0.03461817	0.025152398	0.12381216	0.11780097	0.033612445	0.09195263	0.19930355	0.23151216	0.019993177
a20	0.01719834	0.009645822	0.019983198	0.012708554	0.019975686	0.019255202	0.03792706	0.053036716	0.04434568	0.06500781	0.2223909	0.4207214	0.057803582
a3	0.029053532	0.013235549	0.028003698	0.013180778	0.024072984	0.022658868	0.060021363	0.076863684	0.042598546	0.072618395	0.2568374	0.32442436	0.036430787
a31	0.02329114	0.010935153	0.02579769	0.013648668	0.024499808	0.024383139	0.05750092	0.07538154	0.041065753	0.06879262	0.24139413	0.34866056	0.04464892
a13	0.020341165	0.015995849	0.027502388	0.023820756	0.029685015	0.02681778	0.033215605	0.04648327	0.059658393	0.09295389	0.1887521	0.34387308	0.09090063
a31	0.024618471	0.019217871	0.028926002	0.021803357	0.03042456	0.028216872	0.038904272	0.0516223	0.053188447	0.094003476	0.19958344	0.32332885	0.086162105
a3	0.02529606	0.022022903	0.03241758	0.031146344	0.035303865	0.03134254	0.03425786	0.039062835	0.051003583	0.10088392	0.17173174	0.32372907	0.101801686
a20	0.03146556	0.030114565	0.03562254	0.038043924	0.03745038	0.03533394	0.036340527	0.039451975	0.057043787	0.10086962	0.15079415	0.2849187	0.122550294
a39	0.026526911	0.02453079	0.03426825	0.03757567	0.037062578	0.03392166	0.033568587	0.039765783	0.063559785	0.107858166	0.15896061	0.2855908	0.11681044
