 	l	ha	scritta	</S>
a20	0.39464787	0.26162642	0.24333459	0.10039112
a31	0.48270544	0.2964178	0.20105676	0.019819956
a35	0.5604844	0.25574857	0.16168171	0.022085257
a31	0.5563965	0.27474225	0.15339068	0.015470606
a35	0.63034177	0.25088823	0.09346086	0.02530915
a31	0.7016332	0.19323353	0.074301824	0.030831382
a41	0.6384837	0.16540977	0.1265551	0.06955142
a31	0.36379337	0.21476282	0.2516799	0.16976392
a11	0.21243589	0.23498274	0.31333712	0.23924425
a18	0.18984182	0.22561006	0.30928648	0.2752617
a13	0.1754325	0.26542354	0.28248298	0.276661
</S>	0.22370337	0.26149455	0.25831437	0.25648776
