 	non	aveva	dove	a	stare	</S>
a31	0.15308657	0.14978157	0.07991103	0.1913402	0.34627816	0.079602465
a8	0.24923085	0.24651474	0.08874167	0.14632341	0.23000951	0.039179847
a31	0.33602685	0.27291897	0.03329427	0.09353788	0.24329135	0.020930642
a28	0.2938202	0.23744969	0.026040876	0.06664227	0.3631294	0.012917508
a37	0.3139302	0.24221526	0.02158819	0.060112275	0.3482645	0.013889508
a31	0.3434358	0.24910508	0.014107365	0.06657904	0.31102917	0.015743602
a18	0.24805969	0.17850317	0.028402282	0.062028658	0.44807985	0.034926318
a0	0.1874315	0.14563167	0.03546133	0.07556235	0.5153405	0.04057258
a23	0.09777802	0.073822	0.026721045	0.07273392	0.6812829	0.04766217
a8	0.08792683	0.06948133	0.023532387	0.088140205	0.68429554	0.04662369
a31	0.07659853	0.06344973	0.028781082	0.0941536	0.6820112	0.055005904
a20	0.06524066	0.05955264	0.06404436	0.10800042	0.60803723	0.09512466
a31	0.06144768	0.055172663	0.052360706	0.09847709	0.6401438	0.092398
a20	0.08776763	0.0857168	0.10410153	0.1370432	0.45248574	0.13288514
a24	0.095189	0.09500714	0.120077275	0.15380476	0.3824904	0.15343148
a8	0.11500195	0.11307929	0.13492912	0.16093422	0.31612203	0.1599334
a31	0.12334559	0.1236763	0.13241912	0.14133738	0.34138566	0.13783588
</S>	0.14455342	0.14498593	0.1502743	0.15555982	0.2515154	0.15311112
