 	il	vestito	della	sposa	vuole	bianco	</S>
a8	0.06736491	0.05804209	0.078086525	0.08835874	0.24687673	0.32628784	0.13498324
a31	0.14401716	0.07329978	0.17338039	0.12975211	0.18476261	0.24466881	0.050119214
a7	0.11929741	0.05547715	0.10847486	0.09066854	0.23367484	0.35540926	0.036997892
a31	0.15388058	0.073738545	0.124937266	0.1043168	0.21880434	0.2623858	0.06193673
a7	0.17043759	0.054660488	0.116411254	0.07634197	0.1349353	0.42787105	0.019342331
a3	0.17623112	0.046852853	0.12310702	0.067476034	0.14597595	0.41954964	0.02080745
a31	0.16963226	0.035055164	0.12641793	0.05186008	0.13240048	0.4627623	0.021871682
a8	0.1430351	0.020855406	0.09945897	0.037255306	0.06443455	0.616945	0.018015552
a31	0.08225026	0.024172459	0.074059874	0.041353237	0.064391896	0.687957	0.025815258
a8	0.09040867	0.021120518	0.08231045	0.037639637	0.04714047	0.7013493	0.020030936
a20	0.0669685	0.026981382	0.07309019	0.04549061	0.05483852	0.70652056	0.026110297
a31	0.09559551	0.0234577	0.08006074	0.04081323	0.08035104	0.6554941	0.024227697
a20	0.07887863	0.020870386	0.07017757	0.03727562	0.048927266	0.71647984	0.027390713
a31	0.07045812	0.022892332	0.058788527	0.035520006	0.04402138	0.7455662	0.022753423
a28	0.07020372	0.03054688	0.065357246	0.044833556	0.0532393	0.69189143	0.0439279
a11	0.07005141	0.039226245	0.064798445	0.048950203	0.056396104	0.6696547	0.050922845
a20	0.045786493	0.025320807	0.039199356	0.030775096	0.04372955	0.7661357	0.049053047
a24	0.040212963	0.018472778	0.031404022	0.02453689	0.051027723	0.7830273	0.05131839
a8	0.036266044	0.016385801	0.027268268	0.0217663	0.0536809	0.78976095	0.054871663
a31	0.052258562	0.02706526	0.04747155	0.04444804	0.10291226	0.65191066	0.07393365
a20	0.045957822	0.044014722	0.050235942	0.059165318	0.08607063	0.61646956	0.09808598
a31	0.058774423	0.055977866	0.06187783	0.072471835	0.103854716	0.52706724	0.119976066
a18	0.06938627	0.073388375	0.08281836	0.1044575	0.13856176	0.3823907	0.148997
a31	0.08687479	0.09212979	0.09912588	0.124255545	0.167933	0.23861626	0.19106479
a8	0.079429984	0.09116453	0.10207451	0.13254346	0.16607788	0.25147453	0.17723514
</S>	0.08160793	0.09698638	0.10867641	0.14172968	0.17330785	0.21413809	0.18355371
