 	sul	muro	vuole	uno	specchio	</S>
a31	0.16758293	0.10467896	0.15553188	0.22972092	0.26169577	0.08078956
a39	0.25172594	0.17154326	0.19541794	0.1909458	0.17635007	0.014016922
a35	0.2888759	0.18450977	0.19079961	0.16866542	0.15428275	0.012866578
a31	0.30758253	0.21543138	0.21635747	0.13455443	0.11489706	0.011177123
a2	0.38843152	0.2557419	0.21075755	0.066667326	0.06378742	0.014614346
a0	0.4270049	0.2475124	0.18990292	0.061080188	0.05617945	0.018320225
a20	0.48935434	0.18754898	0.1503376	0.07278015	0.073274314	0.026704624
a18	0.47986877	0.15314302	0.13419601	0.06994576	0.11249197	0.050354507
a31	0.4658368	0.14019816	0.12844045	0.07074548	0.13918862	0.05559051
a0	0.33051535	0.11224425	0.11075132	0.10678097	0.20883091	0.13087715
a31	0.29433277	0.1409082	0.13259344	0.09913079	0.20001298	0.13302186
a46	0.1536773	0.10788482	0.11677536	0.1561872	0.25256795	0.2129074
a33	0.1345734	0.115994796	0.11917796	0.14371473	0.25010613	0.23643304
a8	0.119093716	0.11240057	0.15097566	0.19729102	0.2115422	0.20869686
a31	0.14848895	0.122149825	0.15910418	0.1866118	0.19577178	0.18787348
</S>	0.13121255	0.12933977	0.16928819	0.1877568	0.19180183	0.19060081
