 	forse	non	li	ha	a	casa	</S>
a28	0.14176233	0.12983485	0.13923748	0.091879055	0.21469404	0.1964687	0.086123526
a10	0.17350319	0.16894938	0.1689147	0.143345	0.1666135	0.14962152	0.029052654
a31	0.20465931	0.1871955	0.18166997	0.11334371	0.16003618	0.13595538	0.017140003
a21	0.23434705	0.20653486	0.20446873	0.099901855	0.15494049	0.09017102	0.0096360715
a37	0.22149983	0.20351288	0.202663	0.09948988	0.15066709	0.10528521	0.016882155
a31	0.21340892	0.20391855	0.20991859	0.11071288	0.16768174	0.08269099	0.011668242
a37	0.24228558	0.21978885	0.22349751	0.111367054	0.15186396	0.043857962	0.007339144
a31	0.24847834	0.22149232	0.2281349	0.10769118	0.14649613	0.04053168	0.007175463
a37	0.27682722	0.21770675	0.23287117	0.10445516	0.12767607	0.030916298	0.009547367
a31	0.31188902	0.20648004	0.23257844	0.09302775	0.107286885	0.03710451	0.011633406
a21	0.32720456	0.1966741	0.22719193	0.09131306	0.10465131	0.03613843	0.016826667
a31	0.30234566	0.1868302	0.194918	0.11212143	0.12062274	0.05898746	0.02417448
a20	0.29532567	0.16077755	0.19306673	0.10080337	0.124316625	0.08011054	0.04559954
a31	0.2610064	0.15065786	0.16405505	0.13656381	0.15788539	0.08181027	0.048021197
a37	0.18242119	0.11339411	0.1263379	0.12948692	0.15261596	0.17037609	0.12536779
a33	0.18259439	0.12074837	0.13979878	0.14824703	0.1714209	0.13192946	0.10526115
</S>	0.118755326	0.10373423	0.11514712	0.12753424	0.17835408	0.18420306	0.17227192
