 	si	è	rotta	la	coppa	</S>
a31	0.22604097	0.042884998	0.22838363	0.21826084	0.22964033	0.054789215
a20	0.26893935	0.0130459815	0.25561437	0.22031516	0.2211178	0.020967295
a19	0.32364637	0.0143013885	0.2526361	0.21344823	0.18369077	0.012277224
a18	0.4267802	0.013322758	0.23789711	0.12761079	0.1811119	0.013277289
a27	0.47614092	0.015867129	0.23957524	0.123024	0.12758909	0.017803576
a31	0.47727942	0.017963476	0.25482196	0.12006274	0.1086538	0.021218585
a39	0.35296884	0.085484095	0.19089521	0.13818164	0.15141718	0.081053
a31	0.3029134	0.07856967	0.2319782	0.14506783	0.16455011	0.07692075
a46	0.17336999	0.14094095	0.16533974	0.15054472	0.2299317	0.13987295
a31	0.15887013	0.14423609	0.16414393	0.15333058	0.23464425	0.14477499
a20	0.15931733	0.15723056	0.15966572	0.15903844	0.20743911	0.15730889
</S>	0.15754266	0.15842035	0.16120112	0.16057102	0.20368676	0.15857802
