 	Marika	tu	hai	mangiato	</S>
a8	0.21260174	0.15088868	0.1618064	0.36904663	0.10565655
a31	0.58588994	0.06171465	0.034549702	0.29454055	0.023305185
a24	0.5741771	0.07463856	0.028889732	0.30205256	0.020242032
a31	0.59947675	0.090413414	0.033345792	0.2590571	0.017706988
a28	0.7607667	0.038721	0.02544436	0.14793809	0.027129825
a31	0.7956704	0.029224092	0.022939494	0.12506333	0.027102701
a3	0.77593064	0.028483465	0.026961705	0.1273549	0.041269183
a18	0.71845496	0.03899921	0.038790237	0.1409838	0.06277181
a31	0.54479855	0.05772492	0.072527595	0.19901666	0.12593229
a23	0.45149556	0.07603918	0.128585	0.18845373	0.15542649
a31	0.3991278	0.08324666	0.12255386	0.21089546	0.18417619
a20	0.20060687	0.1348077	0.21088713	0.22854804	0.22515027
</S>	0.1825449	0.11910114	0.20088717	0.24977933	0.24768743
