 	ho	scritto	una	lettera	al	mio	fratello	</S>
a10	0.083398044	0.108663894	0.049954	0.09542113	0.1385511	0.1843857	0.2170006	0.12262556
a31	0.13317342	0.1578658	0.061632648	0.11051965	0.12705827	0.169603	0.17189388	0.06825335
a37	0.085468784	0.11368541	0.015547612	0.055648934	0.096677296	0.27263045	0.3296439	0.030697558
a31	0.099995755	0.123396166	0.01670982	0.073368326	0.12983872	0.2524838	0.27085963	0.033347797
a20	0.08339589	0.12522563	0.011982556	0.038801275	0.0806049	0.25661328	0.38489234	0.01848411
a31	0.049705725	0.08471776	0.011612888	0.02451653	0.053736184	0.2934667	0.46401238	0.018231813
a20	0.04957657	0.08395526	0.020056244	0.03180398	0.056018077	0.2764167	0.45083502	0.03133813
a13	0.059032317	0.079552025	0.044008236	0.05585577	0.066777036	0.2338934	0.391976	0.0689053
a20	0.041658938	0.054340106	0.035842884	0.04277778	0.05323716	0.22626501	0.47129226	0.07458593
a24	0.030233037	0.040647157	0.028506719	0.034592915	0.046932776	0.25524187	0.49830204	0.065543555
a31	0.035571802	0.046117797	0.03808209	0.047136858	0.060065556	0.25067443	0.44900617	0.073345326
a0	0.05981444	0.080937356	0.09177825	0.09574767	0.10611767	0.18614092	0.2623991	0.117064595
a35	0.06894397	0.089695275	0.106604576	0.113233976	0.12223739	0.15971622	0.20368503	0.13588357
a0	0.07838392	0.103446536	0.11145745	0.11429881	0.11926062	0.15345745	0.19308573	0.12660952
a31	0.075912714	0.09385412	0.09456799	0.098416075	0.10858991	0.17326012	0.2297583	0.12564084
a11	0.10987619	0.11979298	0.12105715	0.12192098	0.122826725	0.13273022	0.14740664	0.12438911
a20	0.109122865	0.120686434	0.122158885	0.124294505	0.12451895	0.13325052	0.14052409	0.12544374
a41	0.113092974	0.11745846	0.116946064	0.11869921	0.120076224	0.13773155	0.15231466	0.123680815
a10	0.10691686	0.1100118	0.10884595	0.11065201	0.11529067	0.14959276	0.17372184	0.124968104
</S>	0.09845937	0.10218593	0.099718265	0.102945246	0.11195513	0.16298887	0.1935691	0.12817809
