 	ho	scritto	una	lettera	al	mio	fratello	</S>
a46	0.083398044	0.108663894	0.049954	0.09542113	0.1385511	0.1843857	0.2170006	0.12262556
a31	0.13326009	0.1582306	0.05240148	0.111566864	0.12732989	0.17414832	0.17668892	0.06637378
a13	0.09018804	0.112288706	0.016952619	0.059849817	0.10806178	0.262776	0.31109208	0.038790923
a20	0.100964665	0.12211737	0.021080503	0.08840046	0.14384475	0.23687668	0.24217929	0.04453636
a15	0.08270375	0.11016799	0.010416709	0.042858746	0.098694794	0.2586472	0.3625825	0.033928316
a20	0.04782323	0.07544442	0.006733451	0.018989805	0.061771624	0.28207958	0.48143864	0.025719238
a31	0.027122393	0.050058063	0.006336021	0.013316918	0.039532986	0.30604154	0.53463674	0.022955362
a39	0.030333536	0.045238495	0.026299162	0.032940686	0.045816462	0.2779968	0.4903803	0.05099453
a31	0.025799371	0.03899936	0.017982088	0.02348956	0.034968764	0.2642973	0.5468988	0.04756476
a20	0.051624186	0.06572484	0.059064314	0.06518621	0.07709571	0.22453682	0.35599804	0.10076985
a31	0.064386755	0.07293521	0.069092594	0.072968945	0.08234387	0.1714081	0.33314186	0.13372257
a7	0.06436208	0.07652989	0.08703379	0.08748556	0.10272081	0.17688265	0.2672359	0.1377493
a46	0.076053075	0.08319301	0.09152063	0.09315811	0.10530392	0.14875418	0.23662895	0.16538809
a39	0.07764588	0.10463476	0.12166987	0.12114509	0.12870398	0.14399463	0.16456804	0.1376378
a31	0.077604204	0.1028357	0.114537865	0.114573605	0.12222513	0.15275308	0.18183108	0.13363934
a46	0.10164621	0.11967332	0.12454457	0.12459665	0.12635136	0.13233677	0.14282773	0.1280234
a0	0.09493158	0.11813543	0.12690806	0.1266059	0.12946858	0.13347943	0.13793829	0.13253272
a27	0.10932418	0.12055442	0.123302974	0.12332311	0.124890804	0.13226663	0.13898446	0.12735343
a20	0.107827365	0.1125864	0.112808734	0.11351504	0.11767352	0.14525647	0.16430406	0.12602839
a0	0.10317551	0.106900044	0.10578039	0.107416034	0.11382854	0.15461555	0.1818379	0.12644604
a14	0.10130318	0.10611705	0.10420849	0.106855914	0.11262537	0.156028	0.18831044	0.12455162
a0	0.10023513	0.104912244	0.102553606	0.10575493	0.11188842	0.15838376	0.1916429	0.12462908
a46	0.100306556	0.10732718	0.10557047	0.10811969	0.11279389	0.15377602	0.1890433	0.12306292
a20	0.10602202	0.10973923	0.10848498	0.109700285	0.11438451	0.14937353	0.17803021	0.1242652
</S>	0.09106364	0.09810597	0.096077204	0.09846203	0.10981081	0.16974014	0.20574862	0.13099168
