 	dopo	Giovanni	é	tornato	a	casa	</S>
a31	0.049038995	0.06393376	0.072834134	0.18732199	0.22320634	0.22585998	0.17780477
a20	0.0064081373	0.12743384	0.05061718	0.17779511	0.29592925	0.28087887	0.06093769
a17	0.0054622106	0.11620446	0.058287486	0.22741574	0.28427342	0.22759475	0.08076199
a31	0.0034350955	0.12576196	0.02978888	0.18466108	0.31230778	0.28534818	0.058697045
a39	0.008043833	0.17654274	0.024632676	0.11874695	0.3731017	0.2643466	0.034585427
a31	0.0073503824	0.1601398	0.022716966	0.12562601	0.42141297	0.2316616	0.031092295
a20	0.0144190295	0.19566257	0.025791977	0.080951944	0.42128748	0.22843756	0.03344945
a31	0.02098985	0.18534493	0.03541551	0.084030025	0.4575138	0.18431106	0.03239485
a13	0.027309207	0.19969739	0.035595562	0.06841982	0.4136315	0.20858109	0.046765484
a24	0.033227827	0.1883434	0.046139095	0.081468575	0.42854518	0.17713511	0.04514079
a46	0.024307918	0.15472248	0.035536047	0.07679578	0.46078676	0.20234282	0.04550829
a31	0.03934404	0.124955066	0.04737889	0.07515493	0.40026647	0.20740503	0.10549563
a20	0.058207802	0.15183723	0.061310366	0.07256773	0.3382578	0.19913803	0.11868104
a31	0.064027116	0.16724204	0.06866856	0.08368935	0.30070782	0.1986456	0.11701948
a18	0.08188795	0.13540313	0.08382178	0.08831944	0.25390512	0.1980726	0.15858999
a20	0.08320873	0.16397397	0.085901506	0.092699796	0.22864126	0.1955821	0.14999273
a31	0.089305	0.12101583	0.09130703	0.098966934	0.2366778	0.18775123	0.17497616
a11	0.11636069	0.099933945	0.117720954	0.11715372	0.2052753	0.17679211	0.16676323
a31	0.09847601	0.12311412	0.09968262	0.100823484	0.18503886	0.20410077	0.18876413
a28	0.12987888	0.09143504	0.13075243	0.12806784	0.171653	0.17552951	0.17268334
a41	0.11470324	0.0999815	0.115607485	0.11338489	0.16665222	0.19708988	0.19258079
a8	0.13861197	0.09937425	0.13912998	0.14033188	0.16494448	0.15809731	0.15951021
a33	0.13386057	0.13641539	0.13461325	0.13929659	0.16882628	0.14343569	0.1435522
</S>	0.11741421	0.12417651	0.11882774	0.13586856	0.20359164	0.14624815	0.15387318
