 	mia	sorella	non	è	venuta	mai	qui	come	io	</S>
a31	0.08162104	0.0828199	0.10575676	0.08778911	0.13605644	0.06942066	0.062863514	0.053534467	0.22244103	0.09769709
a24	0.11836458	0.1084179	0.13653183	0.01726643	0.22393279	0.06448177	0.116257206	0.01937643	0.1709091	0.02446194
a31	0.17808567	0.10534002	0.13675652	0.014901248	0.21479934	0.041993544	0.11827438	0.015797118	0.15181236	0.022239812
a13	0.145365	0.10963079	0.14651628	0.011361588	0.2618915	0.030173346	0.11866673	0.015991708	0.14273402	0.017669044
a18	0.11456404	0.092254624	0.14488715	0.011645702	0.33510637	0.02912971	0.110957555	0.0155133335	0.13030651	0.015634995
a20	0.10446636	0.08379284	0.13949291	0.0107380105	0.3555043	0.024203297	0.106169775	0.013469792	0.14557058	0.016592154
a31	0.11178884	0.08632577	0.14124818	0.009602158	0.3271334	0.022930725	0.10370897	0.012403714	0.16622482	0.018633433
a37	0.06499555	0.06611628	0.12521024	0.015875857	0.4200466	0.026520962	0.075955406	0.017211273	0.15523241	0.032835394
a31	0.06848567	0.06554276	0.11449138	0.015945215	0.43237638	0.029058764	0.08683496	0.017086662	0.14860436	0.021573901
a11	0.04531394	0.05469303	0.098799124	0.022281295	0.45606214	0.03332506	0.067129634	0.022276688	0.16074353	0.039375562
a31	0.053432662	0.056957614	0.09451877	0.021744601	0.46110466	0.03487773	0.07389511	0.022219442	0.15384309	0.027406314
a11	0.03974076	0.04796358	0.07981009	0.027663872	0.47252938	0.037461456	0.061059855	0.027073843	0.16067353	0.046023674
a31	0.048253197	0.052836034	0.08329405	0.02577504	0.4779727	0.03704626	0.065000415	0.025761427	0.15052766	0.033533286
a11	0.039660625	0.04532939	0.068473004	0.034691863	0.46646526	0.040683057	0.056169704	0.032627083	0.15630606	0.059594013
a31	0.0458411	0.050619252	0.07554102	0.031548753	0.48372623	0.039452232	0.058351997	0.030816106	0.13821682	0.045886446
a13	0.044736926	0.048259184	0.06456251	0.048169553	0.41212773	0.04650721	0.05614492	0.04179817	0.15289304	0.0848007
a31	0.049053438	0.052732613	0.07097965	0.04549691	0.4323803	0.04651283	0.056634877	0.042132974	0.12632477	0.0777516
a18	0.053780645	0.0574998	0.06912998	0.07384955	0.28633162	0.0559637	0.059506103	0.055567876	0.17169507	0.116675645
a31	0.059251383	0.061982848	0.073564194	0.06630402	0.30309457	0.058024477	0.06206381	0.057029057	0.14266896	0.11601668
a10	0.06004297	0.06865122	0.08244791	0.10491367	0.15219474	0.065176725	0.062029555	0.07019766	0.19884191	0.13550366
a7	0.06471957	0.0687421	0.07874968	0.08654336	0.18668622	0.065347746	0.06594402	0.06662681	0.17660047	0.14004005
a31	0.059488963	0.06921699	0.08506038	0.105148606	0.16150151	0.06420701	0.06011434	0.0700608	0.19273725	0.13246417
a20	0.060750507	0.08480576	0.10262355	0.11936271	0.09007169	0.07714136	0.0630106	0.08935598	0.1846909	0.12818694
a31	0.06298489	0.075267375	0.09131328	0.11691794	0.10830422	0.07024327	0.0638497	0.078019135	0.19154151	0.14155865
</S>	0.06350531	0.093338564	0.10836769	0.11971407	0.08086173	0.08530374	0.066688485	0.097762994	0.15981355	0.12464388
