 	il	vestito	della	sposa	deve	essere	bianco	</S>
a20	0.09259091	0.103618294	0.13711572	0.1382439	0.044781175	0.044308256	0.34070554	0.09863619
a31	0.18384682	0.13092877	0.22081225	0.19240555	0.0049449024	0.003473225	0.23749189	0.026096562
a7	0.22564112	0.12619041	0.18690464	0.15912454	0.012350277	0.007974851	0.26699793	0.014816269
a31	0.2286079	0.14100356	0.1783261	0.14526977	0.007960558	0.0049498575	0.2778291	0.016053142
a21	0.27997005	0.1531245	0.20530383	0.1512936	0.013440961	0.007617187	0.1752643	0.0139855975
a31	0.3076343	0.15049255	0.23062326	0.13986284	0.01221719	0.0075714053	0.13849229	0.013106197
a11	0.3102624	0.13502449	0.2538521	0.13739783	0.020885892	0.011462968	0.11155128	0.019563073
a31	0.31671765	0.10782221	0.26777673	0.123307444	0.02753714	0.019286107	0.11102966	0.02652299
a46	0.28209424	0.08833478	0.23903632	0.12628317	0.04885504	0.027917331	0.14454415	0.042934995
a31	0.19575852	0.08564394	0.19621362	0.14638348	0.06780764	0.047731686	0.19966839	0.060792744
a17	0.1455776	0.07547059	0.16248032	0.1355616	0.10064459	0.05696992	0.23432028	0.08897507
a20	0.12298544	0.078767724	0.14996175	0.14735837	0.10405644	0.06580602	0.23996268	0.09110159
a31	0.096440926	0.07041961	0.11321412	0.1407183	0.12921247	0.07647627	0.2535415	0.11997683
a20	0.07080374	0.07133239	0.0966935	0.15493819	0.14567406	0.10894389	0.2090165	0.14259765
</S>	0.08328628	0.076890245	0.09548477	0.12970668	0.15673324	0.09670409	0.21318789	0.14800683
