 	cosa	fa	Anna	il	sabato	mattina	</S>
a46	0.07552643	0.057428855	0.12893258	0.17277722	0.29219466	0.15614527	0.11699495
a31	0.1372895	0.090096585	0.16735429	0.21229611	0.2607658	0.10122955	0.030968225
a6	0.13118249	0.109601155	0.1612459	0.19676352	0.33153814	0.040166017	0.029502746
a31	0.15252432	0.120389275	0.1716978	0.19257967	0.2668006	0.06407118	0.03193708
a37	0.17827657	0.1272467	0.17489016	0.19056019	0.28725958	0.026234316	0.0155324405
a31	0.17926936	0.1114327	0.16891252	0.19070132	0.3127198	0.022731084	0.01423321
a17	0.16472356	0.113531545	0.15812497	0.18433969	0.34821838	0.018492213	0.012569635
a31	0.13709787	0.09172531	0.12852697	0.16792917	0.4398985	0.01940738	0.0154146915
a17	0.12768948	0.09342326	0.13320881	0.17225137	0.43067795	0.023475364	0.019273797
a31	0.117345646	0.08485096	0.1144104	0.15181127	0.4857257	0.024009235	0.021846812
a8	0.101699956	0.08103911	0.117995575	0.15356237	0.48360184	0.03186388	0.03023721
a31	0.10045027	0.08962854	0.11971615	0.13588083	0.46338943	0.043982226	0.046952635
a28	0.08781444	0.08081019	0.11424654	0.1321759	0.49003366	0.04634693	0.048572324
a0	0.098957606	0.0853355	0.11897293	0.13516514	0.47094452	0.044347383	0.04627684
a41	0.098947085	0.08816789	0.11867256	0.12815036	0.47080523	0.04356944	0.0516874
a39	0.07487247	0.06481778	0.09830391	0.10488076	0.50923777	0.0576332	0.09025407
a31	0.07159633	0.05029098	0.08720984	0.10444056	0.56680816	0.04287967	0.07677434
a39	0.07335971	0.06702205	0.09771874	0.116561435	0.39814466	0.11729938	0.12989396
a31	0.096421845	0.09000021	0.12631238	0.124890536	0.32529446	0.10205888	0.13502167
a18	0.08730353	0.086609766	0.10995767	0.12765661	0.23629725	0.1685062	0.18366902
a31	0.105557516	0.10468148	0.13067573	0.1277802	0.22925319	0.1324283	0.16962357
a18	0.09339057	0.09401771	0.10885555	0.13000679	0.17468856	0.19152825	0.20751256
a31	0.10503392	0.104914635	0.12183624	0.12393696	0.18915766	0.15828453	0.19683598
a39	0.09125423	0.0926368	0.10943187	0.13788243	0.1632372	0.19743559	0.20812193
a41	0.101016186	0.10132064	0.11293275	0.12342979	0.16476396	0.18347396	0.2130628
a8	0.08164611	0.085994355	0.12327376	0.15679094	0.18241203	0.18274696	0.18713586
a31	0.079475775	0.09449698	0.15034881	0.16325445	0.18516168	0.16252333	0.16473892
a46	0.08074146	0.09241182	0.14258277	0.16398016	0.170822	0.1742187	0.17524311
a8	0.080705166	0.087633006	0.13255928	0.16206808	0.17586346	0.17956568	0.18160523
</S>	0.08599398	0.10767164	0.15257351	0.15928532	0.174772	0.15817764	0.16152592
