 	voi	avete	mai	mangiato	il	pasticciotto	</S>
a8	0.20655626	0.18659274	0.04840764	0.12540707	0.21999957	0.15593141	0.057105273
a31	0.2669119	0.2436701	0.03715492	0.1703887	0.1930043	0.07353795	0.015332189
a21	0.3919048	0.33638957	0.029733032	0.08368927	0.11124186	0.041595917	0.005445513
a37	0.33524808	0.3094853	0.03579024	0.11939286	0.1441734	0.04862356	0.007286561
a8	0.31137252	0.30162135	0.02859418	0.1491155	0.15444733	0.047176994	0.0076720794
a31	0.4407774	0.38178924	0.012411234	0.057248913	0.0751059	0.024714826	0.00795248
a13	0.4604956	0.3944617	0.007659432	0.047855124	0.062210865	0.018049134	0.009268221
a20	0.45455465	0.38443986	0.011385379	0.052992553	0.064321995	0.024664568	0.007641007
a3	0.48523334	0.40924832	0.0073501933	0.031407207	0.04223148	0.017141422	0.0073880483
a31	0.4769841	0.42332023	0.0062977364	0.027454855	0.041320957	0.016305206	0.008316866
a29	0.5456013	0.38330975	0.006059682	0.013108259	0.023021162	0.016453644	0.01244628
a31	0.5513871	0.37210786	0.0068542054	0.016423292	0.024937103	0.016733179	0.011557255
a3	0.53775287	0.344628	0.011147587	0.01639139	0.03338044	0.03276294	0.0239368
a31	0.4916543	0.31423378	0.020731898	0.026461972	0.047822148	0.053842742	0.04525311
a24	0.41778812	0.2651387	0.03262034	0.043114066	0.0772321	0.097973935	0.06613275
a31	0.21142414	0.1941797	0.06553253	0.082785025	0.11842327	0.18861862	0.13903666
a39	0.23006617	0.15458961	0.074150555	0.09679474	0.1283609	0.19156052	0.1244776
a31	0.16015135	0.110423274	0.09776135	0.12548566	0.14772706	0.20243567	0.15601562
a33	0.15296209	0.11444571	0.10094183	0.1255685	0.14511338	0.21389824	0.14707026
a31	0.13652538	0.10750013	0.117366664	0.14101784	0.15480272	0.18399349	0.15879382
a23	0.12527762	0.10603531	0.11206792	0.13757922	0.15457425	0.20506024	0.15940545
</S>	0.12848558	0.1035098	0.12036927	0.14485358	0.15892236	0.18008475	0.16377468
