 	mi	si	gonfiò	il	dito	</S>
a41	0.20294876	0.14377156	0.14886633	0.32037243	0.09843387	0.085607104
a20	0.24815989	0.247256	0.13248226	0.28085268	0.06172022	0.029528985
a39	0.30053443	0.21752912	0.09259407	0.30711684	0.058191188	0.024034321
a31	0.24678586	0.18094335	0.039662298	0.48133764	0.035034783	0.01623613
a37	0.19179365	0.122459374	0.01647142	0.62799	0.02397002	0.017315593
a21	0.21819618	0.12268437	0.016836464	0.59109145	0.029247575	0.021943893
a38	0.17895624	0.08493609	0.02939172	0.6268699	0.04263697	0.03720904
a18	0.14069517	0.07318323	0.059482455	0.5868788	0.072339654	0.06742066
a46	0.13335343	0.068538845	0.06482067	0.580448	0.07940199	0.07343704
a31	0.14547785	0.126503	0.13932447	0.30311757	0.14375131	0.14182584
a20	0.150831	0.15307744	0.16500027	0.19721125	0.16727556	0.16660444
a46	0.13104898	0.13538206	0.16295117	0.23360349	0.16900393	0.1680103
a31	0.15469271	0.15523537	0.16160084	0.20258175	0.16331457	0.16257481
a8	0.1630093	0.16339405	0.16523345	0.17712986	0.1657563	0.16547702
a31	0.15961644	0.15959555	0.1633013	0.18919675	0.1643472	0.16394277
</S>	0.1643387	0.16428566	0.16514334	0.1754294	0.16551708	0.16528586
