 	non	mi	aspetti	che	non	vengo	</S>
m	0.591808502	0.08146619918	0.023621952067	0.0118707164704	0.00634094298862	0.162870819801	0.122020893439
ì	0.3488956674	0.2590749954	0.2276724576	0.0312944535492	0.0052103590566	0.0512981364172	0.0765537932466
m	0.25358136184	0.5053826494	0.0325940872	0.02102028602	0.01529178612	0.16090896501	0.011220852846
e	0.0520606386	0.487619626	0.2325597405	0.07087102623	0.017356249532	0.086476917986	0.05305586706
m	0.0408346148	0.606205428	0.15610745	0.12219685716	0.00584493136	0.0374214820858	0.031389285684
ì	0.0209903654	0.3020353462	0.4916659214	0.0676587302	0.01138737037	0.0581425432	0.0481196678514
n	0.062152917154	0.2214790918	0.491038754	0.1347201109	0.0357448312	0.028594356772	0.02626993594
i	0.0242266455	0.1908802494	0.39102371	0.2060197232	0.0306104918	0.117764267	0.0394748543
k	0.0018153064502	0.011448953808	0.09950922	0.599073716	0.243382175	0.021486132626	0.02328449052
a	0.0283888246886	0.079120660366	0.0616401954	0.461206382	0.0869034376	0.173402242	0.109338325487
e	0.00247259318492	0.004588613242	0.04653615274	0.324758	0.493731284	0.0760727312	0.0518406747
n	0.0023897290196	0.0049868528174	0.03373563172	0.227572588	0.474360486	0.19133935036	0.065615375394
è	0.003939552028	0.009214000692	0.00726159276	0.0707948478	0.131276832	0.624287972	0.1532251185
r	0.00310480764865	0.00475012328852	0.0147478118658	0.02181976628	0.262047949	0.551956958	0.14157252306
k	0.00346786236225	0.00896009015912	0.0128311090104	0.039097853514	0.088038222584	0.817170102	0.03043475187
o	0.02100557523	0.03010114278	0.02338378744	0.03748426606	0.0572827266	0.668586736	0.1621558672
m	0.00143497394681	0.00160335453028	0.053619271713	0.0146452949272	0.09727724996	0.4397145292	0.3917053408
e	0.00493118444941	0.00988218002907	0.0198851033406	0.0116689863	0.01498982232	0.722436528	0.21620620536
</S>	0.0009547369252	0.00169819250096	0.085214682274	0.009151979	0.0145166064	0.241450167	0.647013518
