 	quella	famiglia	non	ha	da	mangiare	</S>
c	0.7904048628	0.036438644	0.002357193548	0.008287992982	0.003293434216	0.025094467924	0.134123432963
ì	0.879436878	0.102525071	0.0016919528564	0.00623410090229	0.00138618815378	0.00282755653555	0.00589824325087
s	0.844883424	0.1423313647	0.00514112668492	0.0041890035906	0.0006179941724	0.00091649002104	0.0019205186566
i	0.544464956	0.377517828	0.0242928673544	0.0253183954106	0.00641377358612	0.00604781421174	0.0159442937902
f	0.2313553834	0.681022788	0.07489632368	0.00588280199	0.001684732412	0.0017797531118	0.0033782759036
a	0.1321117908	0.550384478	0.10622239412	0.05844747628	0.05420505044	0.02199569488	0.0766332726458
m	0.07642332126	0.548292478	0.3430441544	0.0177790434	0.00683051726	0.002147277126	0.00548316236
ì	0.0308857465094	0.622528338	0.2323487613	0.0636130989	0.00786971308	0.008028046292	0.0347263444182
g	0.0580385866177	0.771108368	0.0909067064	0.0631930413	0.004884934574	0.00307750148	0.00879086004
l	0.056951775657	0.707766778	0.11526416484	0.0528146722	0.0053242595	0.01179446054	0.05008391644
i	0.04815030294	0.450557556	0.0910458362	0.0801705026	0.026514268	0.1194860104	0.18407550174
a	0.0028252490388	0.08774425746	0.46518112	0.291022993	0.0811341676	0.01959843346	0.05249359124
e	0.00388865261345	0.005385724488	0.414474786	0.416238798	0.0717607438	0.04024600784	0.04800524318
n	0.00418228370184	0.002164370516	0.2043732418	0.453763272	0.2486106036	0.05805644684	0.028849711664
è	0.00771616723014	0.00650130626	0.0169605846	0.325720062	0.380444298	0.1921369642	0.07052056907
c	0.0333514755422	0.01124947668	0.02684771454	0.392652912	0.339227838	0.1305719206	0.06609873258
h	0.0121711892693	0.01871283858	0.07339574266	0.4325351614	0.137767379	0.294212498	0.0312050532
i	0.0135968492608	0.05997692204	0.0383514216	0.2267830696	0.264004946	0.301487926	0.095798920332
n	0.00189391473645	0.0030869405108	0.00540350274	0.036240491	0.45144082	0.300500758	0.201433691
a	0.00549978592369	0.00777663358966	0.00281152804	0.0216447557	0.310453419	0.538454462	0.11335943789
f	0.00116110211821	0.0011767936848	0.000925789644	0.003010218808	0.0854328473	0.722959872	0.1853333678
à	0.00970419260366	0.0127817025631	0.002368185666	0.00693113812	0.129404004	0.641359806	0.19745093844
i	0.00696040900475	0.00194981176719	0.0034646559548	0.00928767902	0.0291824044	0.759808336	0.189346657
</S>	0.000843385114409	0.001424187471	0.0007083730136	0.002245574625	0.00634942782	0.5177375676	0.470691348
