 	mio	padre	ha	lavorato	sempre	</S>
o	0.90936924	0.02213114846	0.003546998634	0.00437121058	0.00505270295514	0.055528587162
c	0.443258108	0.498555884	0.0116011257246	0.0019256367079	0.000600115887126	0.0440591293163
i	0.1250507648	0.652314918	0.09544751732	0.01987157412	0.015042908684	0.0922723841236
ù	0.1956645026	0.789496848	0.01163236606	0.001886506492	0.000738506193	0.000581243351
r	0.08242188504	0.67066208	0.2167967976	0.01200256182	0.004082386596	0.0140342236108
i	0.0701804144	0.61855627	0.2094833586	0.02146382366	0.010695025496	0.0696212623411
m	0.02493424088	0.3197332956	0.601121802	0.0378985906	0.010286651222	0.0060254997
m	0.042050686862	0.216935477	0.397640988	0.186707085	0.08369651	0.072969387518
u	0.1466096982	0.3772880908	0.142670889	0.0681747665	0.01544050746	0.249816120557
è	0.0154120571736	0.09998753146	0.448043008	0.303921382	0.04345740246	0.08917884352
p	0.0041893330132	0.01162002848	0.4910897888	0.432137772	0.02187549848	0.0390876378
o	0.0118640585967	0.0221095628	0.3224540334	0.460429036	0.06780456648	0.115338703876
l	0.005325145382	0.013993687114	0.19262248508	0.67335484	0.0542464612	0.060457481
e	0.00829897038592	0.02072989527	0.0384438718	0.53700867	0.276160754	0.119357863992
m	0.0061809525616	0.004134104566	0.03537602562	0.437176616	0.305309534	0.2118228236
i	0.0158420795802	0.0184100427704	0.02703262322	0.513900164	0.2265758984	0.198239051167
m	0.0041144710913	0.005325640745	0.01099841151	0.30498198	0.368116098	0.3064633747
m	0.015560509192	0.017067120903	0.015792451548	0.3488715392	0.356681322	0.246027103902
è	0.0388037214157	0.023079241566	0.0337007173	0.2660837178	0.254871292	0.383461304254
n	0.0234286982309	0.0118230845134	0.0124332016495	0.314392478466	0.58924444	0.04867818552
a	0.0777874375036	0.0533508491082	0.046584932552	0.18451870824	0.5059787472	0.1317792593
p	0.00280674794071	0.0035504292824	0.0016146794294	0.037237536286	0.77543764	0.179353034
à	0.00906329393029	0.0111645009818	0.0040410396356	0.04362594442	0.606419086	0.325686132674
n	2.00206604948e-05	9.344783394e-05	0.001820046872	0.034256669894	0.805077212	0.158732717
t	0.00406845638873	0.00297587877329	0.0026650554464	0.0132252624748	0.827977622	0.14908777
a	0.00215437808671	0.006984990409	0.0042021273208	0.0293765942812	0.777203882	0.18007803794
</S>	0.00109502943476	0.00112238914052	0.00040222896434	0.0025287741676	0.45416232	0.540689324
