 	io	non	ho	cosa	da	mangiare	</S>
e	0.846325378	0.0125293452952	0.00233930633186	0.00117415047183	0.005343332594	0.03187520662	0.100413290749
v	0.962685428	0.02855911432	0.002682037872	0.0002622725164	0.000836781337136	0.000204943710199	0.00476944053412
ò	0.6079600686	0.11457393932	0.0485666748	0.08222465808	0.041829609052	0.02784283082	0.077002116654
e	0.408663884	0.432569776	0.0853047508	0.0151450234	0.00454089803	0.003420045184	0.050355631856
n	0.11945834908	0.666539172	0.1419153052	0.02064054634	0.003373161096	0.00481027417584	0.0432631838715
è	0.0700467534	0.096262008	0.5407520552	0.208115932	0.0172022819	0.02430237498	0.043318692248
c	0.03913814746	0.149930962	0.61187166	0.1347198478	0.01558093496	0.00754293908	0.04121550546
h	0.0480951252	0.13655929	0.422306786	0.2605780542	0.0212094134	0.04006775084	0.07118358136
o	0.06862959108	0.055036743	0.305922212	0.457369672	0.04095397494	0.020937448	0.0511504891
t	0.0016396695914	0.00542611129	0.0993342722	0.675120618	0.177961173	0.0109708399	0.0295472983
i	0.0136621809482	0.018978201	0.0403772298	0.519729224	0.1766332248	0.1424223003	0.0881975830902
è	0.0022561614673	0.001756250486	0.00881192492	0.1782269422	0.61355526	0.137582739	0.057810654
n	0.0221057191257	0.00881080857	0.01013395292	0.0626952406	0.499526482	0.35214769	0.0445799558
a	0.00832892274667	0.008138201264	0.0200982228	0.150567234	0.5056727	0.2336753032	0.0735194445
f	0.00081709434996	0.0002824915074	0.000903235446	0.01257452807	0.297887114	0.6044315432	0.0831042474
à	0.0073228406676	0.0055374229232	0.008249599656	0.02180362114	0.1828084792	0.595788714	0.17848945912
o	0.00193063590879	0.000595553382274	0.0017819701706	0.003347456804	0.0503886956	0.808644646	0.1333111546
</S>	0.00058946158392	0.0006732344646	0.0009534957416	0.0019837213832	0.00996003464	0.57949935	0.4063406952
