 	il	muro	vuole	uno	specchio	</S>
o	0.90939472	0.0538926374	0.00602516022	0.001787585462	0.0063934088005	0.0225065731492
t	0.718538538	0.248359638	0.01997348921	0.0017133923852	0.0011528788056	0.0102620599286
ì	0.0828221444	0.62673147208	0.04902745134	0.01504120552	0.17985544349	0.0465223115004
c	0.0417359996	0.9365525	0.0165364202	0.00242413439	0.000482091546	0.002268899156
h	0.1227858822	0.702989218	0.1345811292	0.005401604138	0.0035882108728	0.030654014358
o	0.2013623292	0.536054846	0.19605121692	0.0036949881138	0.0346376430272	0.028199037538
t	0.0268337183	0.1440968858	0.733223462	0.04812789164	0.019561723766	0.02815623768
è	0.012689569956	0.11585822484	0.43451004374	0.09458129406	0.2014429786	0.140917734907
l	0.003354033882	0.12697485216	0.71684523	0.0426685462	0.0317166316	0.0784406536
i	0.026242933982	0.0396436711	0.747851244	0.04991109768	0.04931642088	0.0870345471
n	0.009192899404	0.00352011154	0.3083762	0.47729968	0.1072122504	0.0943988656
a	0.00946089543845	0.010850935674	0.195759502	0.5182325756	0.0719559614	0.193740184256
n	0.0046320316802	0.0014484914366	0.0406309222	0.697795012	0.1441200326	0.11137360092
g	0.00822553643348	0.0101345300028	0.0294958222	0.5474574468	0.2156349344	0.189051776262
h	0.008114237488	0.0184604248	0.167553573	0.4019294224	0.06081542546	0.343126937188
i	0.0450874173	0.031831446	0.230332294	0.2564932526	0.1240580992	0.312197586592
a	0.0249887619981	0.00092529338446	0.019200999088	0.49910821	0.3329774154	0.122799323
l	0.000290519080092	0.0009284486828	0.0029073375	0.3667263234	0.465154989	0.1639923552
ì	0.00181088274587	0.00193087294912	0.001509900518	0.2172907874	0.5912252274	0.18623232164
</S>	0.000251572138437	0.00165294590006	0.042415065623	0.05071462466	0.3497962274	0.555169658
