 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
e	0.849813636	0.0463961975	0.01281053978	0.0037419142328	0.0119289006648	0.0181658472432	0.0021551778144	0.0039106535944	0.0087230722792	0.0423539882947
n	0.565534755	0.231289004	0.02329917104	0.00821896932	0.022260533586	0.008563885088	0.0016830696056	0.001553558172	0.00322642644552	0.134370615188
è	0.04443661964	0.344039331	0.373733878	0.11514681988	0.0398301945	0.04867127486	0.001353612624	0.001152735566	0.004408744068	0.0272268274212
g	0.0554789292	0.674905146	0.1687286414	0.023159801	0.042455243	0.0028950165946	0.0035966602196	0.0044776542304	0.0008352685646	0.023467460836
r	0.0285729996	0.374478306	0.461470766	0.0429970198	0.0389497536	0.0038853599544	0.004337916004	0.0020507561156	0.001353210044	0.041903889164
a	0.01759581366	0.2616612926	0.59796457	0.0597288636	0.01147134138	0.020741791888	0.006429835062	0.002385621616	0.00506030099	0.0169605262
t	0.003749727362	0.06221561448	0.59401921	0.278463238	0.05137337976	0.00512433674	0.001457948274	0.00112071346	0.0010945592512	0.001381333838
s	0.008225870884	0.0423049376	0.707439878	0.14216742754	0.0331680786	0.009024371	0.008353607912	0.007175728422	0.00695026824	0.0351898724532
a	0.007388360812	0.0911007254	0.524975234	0.192802037424	0.07308247796	0.01502559752	0.017267062984	0.0361211887	0.01166095572	0.0305764082648
m	0.00133843422	0.013677595652	0.253620922	0.558448448	0.1378514122	0.01501206678	0.00474834408	0.00574593368	0.004955569446	0.00460128595
à	0.0077022699	0.01259593036	0.43635167	0.3255728559	0.0973344546	0.041788364	0.02357184016	0.017385104	0.01799951752	0.019698126296
i	0.008704261022	0.01045720148	0.1700549006	0.45239123	0.2459948332	0.046483344	0.011411427188	0.00535848954	0.026006552968	0.02313764744
è	0.00038621951048	0.0021809094746	0.023617528848	0.2430690136	0.63752465	0.05396330246	0.01161548896	0.0087236233	0.00398319908996	0.01493607073
n	0.00054659755616	0.001592433003	0.0047301034408	0.0576032916	0.683693472	0.16694479574	0.024612582768	0.012126242714	0.0302346741374	0.0179159307488
a	0.00329153885863	0.0091871298978	0.044995734112	0.103241128	0.538004792	0.17336898	0.04546656692	0.011894590664	0.009746500512	0.0608031008614
g	0.0004318720902	0.0008941389558	0.003418802452	0.0415413166	0.4760333328	0.21730074612	0.176287126	0.06569534656	0.0062314204	0.012165963588
r	0.00378459847305	0.00785375756112	0.037831205574	0.03434691214	0.268245668	0.250136608	0.2109258412	0.0654409158	0.04480116276	0.07663344227
à	0.003812000222	0.0065244002	0.0186350772	0.03314829348	0.0805154134	0.3427718468	0.0939462768	0.1061335394	0.0391697032	0.275343374532
m	0.000648308922355	0.0025183165622	0.00163663517588	0.03072658088	0.1106081628	0.456253879	0.14382864864	0.042525081428	0.16069466496	0.05055971242
m	0.008368317514	0.0084639913246	0.016269335984	0.0268163305	0.1081386486	0.435574043	0.1566544502	0.0366112469	0.09915177262	0.10395172156
a	0.02689970455	0.033111287154	0.03105179536	0.04567638085	0.0784359102	0.3568857246	0.130707078	0.0261213425	0.1657542238	0.105356506068
s	0.00275106845459	0.00311966046069	0.00288335732599	0.006501760386	0.03283685894	0.0425869274	0.365064162	0.38669186	0.0620102874	0.0955540719
o	0.00458187912905	0.00709559735479	0.011715154085	0.005366961572	0.01245885854	0.1220878292	0.343166745	0.1142979706	0.1442082854	0.235020833021
n	0.000658861145772	0.0015637272872	0.00257316124546	0.003274207908	0.00571817304	0.00860383648	0.2163073752	0.608908728	0.0902939212	0.0620981228
a	0.00146628577864	0.00252456817359	0.0033219917933	0.001363462543	0.004276609136	0.0479162138	0.2150866002	0.269951406	0.2986563745	0.155436502956
d	0.00042027532178	0.00173369599232	0.00176154033784	0.002196216748	0.00276784551	0.00497021472	0.088047547	0.591128698	0.2044187382	0.10255526052
e	0.00257369007077	0.00281828352126	0.00983826881619	0.002069352505	0.003077289236	0.0222068301	0.1502634706	0.263220694	0.393659444	0.15027256468
r	0.000609617446394	0.00153980948362	0.00232532109659	0.002030305474	0.00199964232	0.00425425418	0.05362205144	0.343193426	0.320161402	0.2702641932
f	0.00147800971617	0.00151277342674	0.0055841430084	0.0007554109278	0.002083933804	0.009951478446	0.0836370262	0.1582177548	0.493379064	0.24340053528
ò	0.00101232200875	0.00130372141038	0.0052058388349	0.000946589368	0.00315191829	0.01940687118	0.10376862484	0.063261562	0.379315714	0.42262699442
m	0.000367912559946	0.000625601711688	0.000591112451917	0.043397811681	0.0326446203994	0.0171142650676	0.061517866252	0.049585076	0.634825056	0.1593306506
m	0.00346716524196	0.00262603970879	0.00354358232786	0.0029256203448	0.00530337791	0.030739518652	0.081803949928	0.123298104	0.56219823	0.1840944378
u	0.0155598569425	0.0129528820233	0.0126798184085	0.011715942628	0.01326296564	0.06438641156	0.0204292196	0.0240153276	0.419540444	0.40545707054
</S>	0.0010834295904	0.00259704045738	0.00162165636389	0.00224037303953	0.00256974283676	0.001794098108	0.008034171716	0.07236675004	0.367212426	0.54048027
