 	se	avevi	visto	le	nuvole	sapevi	che	piove	</S>
a	0.82432038	0.0822198643	0.02219940782	0.003974964102	0.00255447165	0.007410855268	0.0012603174106	0.001566561562	0.0544931546029
n	0.5869452488	0.2073419676	0.02937755566	0.00826065186	0.0019831535134	0.009048803338	0.00259142486699	0.0073192395105	0.147131947677
ì	0.021842140034	0.656509622	0.2018713468	0.04251161102	0.03166357202	0.00876008586	0.002936952258	0.00280910095	0.0310956578643
c	0.01108250729	0.874459646	0.08488115488	0.005259852768	0.00428851604	0.002104557192	0.002127358301	0.00316434924286	0.0126320040588
h	0.027581660306	0.69332071	0.191657171	0.01650202892	0.0089566981926	0.0031373084446	0.0007824905396	0.0048218482542	0.05324016067
e	0.03478393922	0.78515142	0.091566339	0.007053715988	0.01786533304	0.0155361717346	0.001628242435	0.0054444059676	0.040970312458
t	0.0075050517212	0.13567687028	0.74307012	0.0934324076	0.01027490507	0.0089565469174	0.0003383977316	0.000110987981838	0.000634577658
o	0.019349313002	0.1371605659	0.613332468	0.0992090558	0.052359823	0.01848540786	0.008968086094	0.00572453029	0.0454108493518
r	0.0107811783956	0.065267098924	0.626119148	0.282880481	0.0085568676	0.00221405403	0.001069698148	0.000571212234122	0.0025403339166
ì	0.012018533342	0.069778907	0.401995146	0.2113490746	0.1463921328	0.047801789	0.02370274968	0.013323414404	0.0736380490908
s	0.0024283631084	0.059910602986	0.364213228	0.295982824	0.1133308606	0.07474121384	0.00504685104	0.03297832547	0.0513679131
o	0.0165980552593	0.09303198517	0.288859304	0.3897052692	0.1036147846	0.0251019118	0.02635048248	0.009455198036	0.047282928614
n	0.0003467720107	0.00095075888536	0.08566785394	0.785776712	0.100056032	0.018596987	0.0062593771	0.00085412216336	0.001491361958
t	0.00433249164775	0.0171429819398	0.089103486	0.408617314	0.339998746	0.05208310966	0.01087634022	0.0131500311476	0.064695699543
a	0.00232366876	0.0157558308	0.13417088	0.386097348	0.193363492	0.0642526968	0.0314309826	0.03970506032	0.132900062234
e	0.000515691087626	0.00101968709502	0.01248596858	0.534450974	0.328803236	0.0752018528	0.01298133344	0.0082584259162	0.02628295578
m	0.00036343902761	0.00057238068318	0.0053332748	0.3070474972	0.376067446	0.248118492	0.03894791466	0.00813476453226	0.01541493545
a	0.0014743926924	0.010988075896	0.03680425536	0.2417548304	0.480606836	0.1286357068	0.0219569812	0.0173539629	0.0604248383932
n	0.00054569709928	0.00127557780404	0.00663677339	0.1702350732	0.548320682	0.1714262	0.0361958878	0.0250776627148	0.04028640032
t	0.0016395105621	0.0079644470881	0.008323456128	0.03070055938	0.539515536	0.1648068344	0.0607202682	0.09434352758	0.091985905506
e	0.0020696003524	0.0084167708712	0.01370472792	0.1034343962	0.3226587928	0.1601696774	0.0458528508	0.0864452372	0.257247859652
ì	0.00016435516566	0.00066955456442	0.003554052012	0.04284356896	0.194675874	0.523170026	0.1093647466	0.05114455786	0.0744131355
t	0.000975081236801	0.00746341124782	0.00134463787767	0.036624943196	0.1629426984	0.599983864	0.0929145582	0.088670526721	0.00908043294
s	0.00212416023766	0.00795760721911	0.00310722315487	0.00982318049	0.131204172	0.520603056	0.06613963308	0.141919264588	0.11712180648
e	0.000293447227558	0.0011687591536	0.00164445189	0.006929910054	0.0513235134	0.1675115652	0.0228782334	0.41723326	0.33101686807
r	0.000122162409279	0.000701584984861	0.00228189071217	0.00387723819186	0.01926253503	0.352539636	0.3053137926	0.144574057	0.1713270054
e	0.00607013628343	0.00990248910769	0.0101637293471	0.00930133668	0.0887225534	0.3249104264	0.203015048	0.17490475	0.173009575032
k	0.000177495457969	0.000695770870624	0.00144164207892	0.0018627346084	0.010993463752	0.161852058	0.40272989934	0.3104766498	0.1097702388
a	0.00319236248719	0.00693370049861	0.00673907996199	0.00474504048556	0.04199239697	0.1608527242	0.33977654	0.2978604168	0.137907891924
v	0.000139580350589	0.000607705511748	0.00124219226034	0.000685024293	0.0035098231	0.0320420024	0.3756474802	0.4769245244	0.10920164352
r	0.00667403506323	0.00701463326852	0.00678035671359	0.00476554217498	0.0163162168208	0.08686327324	0.215890144	0.454227982	0.201467620026
è	0.000206578125174	0.000648456069286	0.00065869609598	0.001880327664	0.00414452696	0.0207959334	0.06436289808	0.609427264	0.297875287404
c	0.000255706354756	0.00140623301687	0.0001185994286	0.0042121929764	0.00325765598	0.0465714141	0.02760555526	0.6285457672	0.2880267808
h	0.00861747593027	0.0119797516391	0.00194631467267	0.0122292826596	0.0132798677	0.11192449392	0.0439859312	0.557367284	0.2386695916
i	0.00305581547734	0.0019180217348	0.00273117638	0.0116652959768	0.0145520191	0.10980410226	0.0451931715	0.5155353734	0.295544983944
</S>	0.00059608841888	0.00147341681817	0.0007849273886	0.00042831424784	0.0023642549052	0.01219277778	0.02285133882	0.347994798	0.611314026
