 	la	sorella	mia	si	non	è	venuta	ancora	ancora	qui	</S>
e	0.895270856	0.0537378144	0.005382467026	0.002001412522	0.001194000292	0.0034595415652	0.00872136285707	0.0011631753478	0.0012651197334	0.003182294948	0.0246219330779
d	0.78407564	0.1834647162	0.01515540588	0.0025984227714	0.00123124441128	0.0007238425432	0.0004063437584	0.001026725634	0.0007729686012	0.000597747789132	0.00994703839745
e	0.3951262718	0.354815724	0.10298213866	0.017473340606	0.003597867379	0.0048333052494	0.0019588440282	0.00671909032556	0.0072220051687	0.0055209106932	0.0997505013452
r	0.3018477796	0.658491018	0.02287724735	0.003162337554	0.0032887923348	0.002167158642	0.002053624665	0.00119151124	0.0010271865572	0.0016488891904	0.0022444639634
f	0.0873185088	0.650284564	0.11164058408	0.02770593844	0.005725650622	0.017019176837	0.0137160043018	0.020217080788	0.026166649814	0.00335249716	0.036853418722
ì	0.161361774	0.496968902	0.08898313436	0.04016521204	0.025115326074	0.030208272156	0.0401364395558	0.0624134995932	0.0349377424392	0.00562947174	0.0140800866092
m	0.07422897772	0.635226084	0.194345672	0.03552694532	0.0079158193	0.009112571	0.01498779242	0.005649105588	0.00499386386	0.0010758226	0.01693745648
u	0.18407281008	0.6419552	0.077273283	0.01116642908	0.011697402534	0.012534501396	0.005339179126	0.007948022977	0.029881580597	0.001103350448	0.0170282869806
e	0.005236812014	0.1787553266	0.682124292	0.0875645288	0.01924130746	0.00635368334	0.00453848522	0.00974582972	0.004680402966	0.0004604042678	0.001298928774
n	0.000482859847	0.01508302904	0.764223746	0.127829026	0.02838256796	0.00509618132	0.00444812422	0.022718879596	0.016312465052	0.000755388402	0.014667584882
è	0.006220885254	0.04321612492	0.4162730392	0.310215162	0.0214413736	0.0326534806	0.00918000391	0.0046454797	0.005444709188	0.03299236576	0.11771747444
e	0.0019731950618	0.019860018844	0.5970106	0.19188475512	0.1048510222	0.0338336516	0.03288492098	0.00489232036	0.003106897434	0.00125566662	0.00844694184
r	0.00058710773988	0.003590042204	0.2242854362	0.403223068	0.252523328	0.0320155418	0.01305881508	0.04170662912	0.023053441328	0.001138975674	0.004817497206
t	0.0157937466732	0.02588825441	0.0921360196	0.261828754	0.0719329744	0.1416968368	0.04612168598	0.01842059154	0.02310597418	0.13099701694	0.1720780944
o	0.0233800458	0.03701117118	0.106593164	0.164103504	0.0569800113	0.0858991226	0.12823141436	0.02553631048	0.01748078592	0.18858986436	0.166194464334
m	0.000924007241004	0.002331223556	0.0209032838	0.188966048	0.28506402	0.2113134408	0.0985562932	0.1075431948	0.04320002852	0.01440623818	0.02679224316
è	0.0272919470144	0.0421132359296	0.03371349944	0.2291374866	0.1252393902	0.1389643872	0.07575208444	0.0818328232	0.0401284842	0.05277346068	0.15305320532
n	0.00274472831832	0.00837108602934	0.0371167456	0.19510229772	0.1628683266	0.254697626	0.1484999298	0.109232897	0.039733134	0.00522850706	0.0364047386
a	0.0476443228528	0.0216678245372	0.0285063479	0.11446508142	0.0639829484	0.298643416	0.0818665696	0.170797712	0.069122622	0.03840684472	0.0648963886
a	0.00157537540618	0.001595934902	0.00239115972	0.01563633854	0.14896547212	0.29577939526	0.131459474	0.26724514	0.12205794732	0.00281095654	0.01048279688
n	0.000277944644907	0.001856224654	0.0030316904592	0.007505745192	0.04357229346	0.11900306092	0.1676858964	0.400374998	0.155126398	0.0580691236	0.04349658198
k	0.00213527080468	0.0021847641	0.00220805918	0.01287778838	0.03331888596	0.1093947598	0.13996898886	0.17208611384	0.14840227588	0.1976943816	0.179728489524
ò	0.0263047475482	0.0089502536172	0.00362526614	0.0090256884	0.0273495034	0.1903062492	0.10422800282	0.062787074	0.0837562564	0.1899376	0.29372939895
r	0.0217847850688	0.0147394233365	0.0252832036	0.03788017576	0.05397646328	0.1962521188	0.0989907484	0.078133778	0.11105154206	0.02730842474	0.3345993584
a	0.0280074015868	0.020057631051	0.01320860067	0.02106306676	0.04758293002	0.159060902	0.0647463236	0.2430641378	0.24916611	0.12229347088	0.0317492364
e	0.0113799465345	0.0072144348648	0.006686056927	0.011496391876	0.0459677901052	0.070702360914	0.0472028818	0.1971022634	0.2557241	0.1463208004	0.2002030506
t	0.000261925835503	0.00151047532456	0.001667580322	0.0030795488346	0.00428764726	0.006054642328	0.02493917874	0.1297828734	0.2472153844	0.482505284	0.098695396
t	0.00391607593848	0.003710629767	0.0008520621462	0.00163761541	0.001653561929	0.00901720724	0.01303794386	0.0188400513	0.1175344794	0.648477646	0.1813226018
ù	0.0157887281472	0.0172761858075	0.0013666162526	0.0027512031564	0.003637441763	0.011187280174	0.146603987169	0.012793111198	0.02992935938	0.599297194	0.1593690456
</S>	0.000544489369974	0.00259700151144	0.00273507061894	0.00888450756486	0.0247724632426	0.020185361162	0.068034296568	0.04928316014	0.03559300954	0.352641778	0.4347287826
