 	deve	che	entra	da	qui	</S>
è	0.97700097	0.006803827602	0.001942540606	0.003503040422	0.004326410082	0.00642315407094
n	0.903014056	0.0583468006	0.013960603394	0.00255540401	0.0031418996282	0.0189812405829
g	0.429645038	0.254927674	0.193651613	0.01125132266	0.01094264462	0.099581634506
h	0.194055571	0.34740325286	0.3095943532	0.007581753408	0.00929316798	0.132071882893
i	0.0953381792	0.3489978038	0.38578906	0.01823281546	0.013093351688	0.138548607314
s	0.02602098478	0.453227658	0.462515834	0.037864459	0.01235260568	0.00801847368
e	0.00958546244	0.223966172	0.511000912	0.0729401614	0.11367226294	0.0688350118599
n	0.014264622786	0.1543673446	0.485098444	0.29748253	0.0353328618	0.0134541442
a	0.0090321760152	0.0662699006	0.57261674	0.134832854	0.0592713548	0.157976982391
m	0.01063188887	0.05035022706	0.1958970476	0.597944786	0.1016918398	0.0434840554
b	0.005306250327	0.03741704408	0.451273248	0.289008108	0.0605308688	0.156464674551
i	0.01020056588	0.0680634038	0.291058576	0.2222951444	0.12368038782	0.284701956874
a	0.005727529108	0.01229707218	0.0335554712	0.57084659	0.1815604778	0.1960129406
p	0.0007310177322	0.002530557084	0.00377627572	0.2565526178	0.657449002	0.0789606062
ò	0.0009882558374	0.007338972146	0.0127372414	0.1339309446	0.657531238	0.187473346224
t	0.0015753906	0.004438441028	0.0160228195	0.0369473015	0.839480012	0.1015359866
t	0.00207759060824	0.00633774812008	0.0470378000066	0.0263219544	0.792724244	0.1255005908
ù	0.002772262344	0.003447405968	0.0230718351468	0.03323232686	0.66641516	0.27106101318
</S>	0.0004105143114	0.00216169581234	0.0030184699714	0.022244353	0.465130778	0.507034126
