 	lo	sentii	che	arrivò	</S>
t	0.87756073	0.024477775678	0.0007966172228	0.04440504236	0.0527597930023
o	0.9433213	0.0184803126	0.0143669921	0.014831349386	0.009000046044
n	0.630417028	0.320897865	0.0333990457	0.00913039155	0.00615562998
ì	0.2344158753	0.368306282	0.1339566998	0.15605751978	0.107263477964
k	0.0449615318	0.760245478	0.0594923265	0.05826561122	0.07703514986
u	0.4866749634	0.3858185396	0.053293242	0.02661019514	0.04760311872
s	0.0491674595	0.3671841674	0.367927968	0.1558657766	0.0598545732
a	0.0642958344394	0.1484989994	0.622486658	0.054888985	0.109829565791
k	0.0371000650308	0.0412084954	0.685015634	0.166573224	0.0701026301
a	0.0378054404248	0.01981267724	0.568525766	0.1825616128	0.19129448817
ì	0.029874856616	0.02041389696	0.3331095884	0.47701666	0.1395851668
r	0.00122924758743	0.017597109596	0.0251805448	0.919918188	0.03607487756
t	0.00219522472721	0.0059693716848	0.034930778894	0.839199586	0.117704965146
e	0.00608127492	0.005105651426	0.01910322526	0.62212775	0.347582139492
</S>	0.00704116096706	0.00295238042895	0.024727022324	0.44531588	0.519963616
