 	non	so	cosa	scrive	</S>
e	0.745347752	0.02531637436	0.00529787188	0.060305168706	0.163732911213
n	0.554204424	0.2528332742	0.0299132038834	0.0103001863225	0.152748880494
e	0.03613594954	0.687295514	0.0666051951	0.13461019536	0.07535313205
t	0.1392121862	0.80329291	0.0391677968	0.006365825	0.01196128808
s	0.02734580652	0.647343086	0.1262080254	0.0770647503	0.122038398288
è	0.03006650556	0.482210326	0.0882325098	0.159985479452	0.239505286688
r	0.03344377746	0.410730418	0.316617404	0.1456590622	0.0935494458
o	0.094469804452	0.498139714	0.2579512452	0.1173961922	0.03204305274
t	0.0009908941278	0.0483267012	0.594500668	0.274622406	0.081559505
i	0.0202039802072	0.05137641288	0.583123014	0.23028011	0.115016462628
g	0.001068254968	0.00687314882	0.374039156	0.560890466	0.05712905012
r	0.010535380204	0.021931828752	0.286867386	0.566886136	0.1137791806
à	0.0131979912	0.0646578674	0.1444560516	0.41999258	0.357695432706
f	0.0087986777608	0.020579632512	0.13975948512	0.669523964	0.161338189
i	0.00799251377046	0.0187176482304	0.0681033594	0.800802166	0.104384276
</S>	0.002499597786	0.0085730692554	0.00865844372	0.482745584	0.497523226
