 	entrò	da	qui	</S>
m	0.950301088	0.004568719562	0.00556615122	0.0395640675764
b	0.6593627481	0.08116322294	0.058207795792	0.20126627141
ì	0.430381718	0.2696656566	0.05744351136	0.242509214469
k	0.4090257912	0.47462355	0.0951080708	0.02124256846
e	0.3644346644	0.34852304	0.0576518498	0.22939033396
a	0.052435116484	0.78218418	0.1469908178	0.01838990874
p	0.002434661608	0.1143473592	0.806010512	0.0772074819
ò	0.001307787218	0.07238308362	0.73731145	0.188997812902
t	0.00153369885	0.01456559326	0.930515846	0.0533848654
t	0.0024616814462	0.01295857456	0.89033695	0.0942427978
u	0.0395204507008	0.033613625868	0.618746092	0.30811988004
</S>	0.00140693720551	0.00297458281486	0.3781224646	0.617496018
