 	ha	che	sono	usciti	</S>
è	0.86691495	0.05198937914	0.020060134648	0.04126859216	0.01976694723
n	0.722750574	0.150227021	0.053030848256	0.036182740272	0.037808913151
a	0.41618373	0.3568411068	0.0861255212	0.10383239952	0.03701720902
g	0.21783372312	0.677428522	0.08971891846	0.0129370509806	0.002081650362
u	0.037220242262	0.4542063961	0.1575907474	0.3157098876	0.0352726926472
ì	0.151627672612	0.3227050244	0.423726006	0.0713178139	0.03062359404
k	0.039559360126	0.0935076448	0.7357281	0.11048061786	0.02072427924
a	0.007481560432	0.0685301016	0.564084346	0.3286633692	0.0312405306
n	0.00965725054	0.23544791716	0.2663797826	0.2220568882	0.2664580784
e	0.016435071648	0.08523196616	0.15002840754	0.5221989256	0.22610579901
</S>	0.0174566534	0.104782489008	0.0573387322	0.1799296308	0.640492286
