 	è	che	sono	usciti	</S>
è	0.828166512	0.08892176678	0.02353126656	0.0450453483	0.01433517142
n	0.645499866	0.2028322094	0.070979665618	0.038223265396	0.04246494389
a	0.3089874098	0.41924231	0.122697295	0.11808244186	0.03099060928
g	0.18376996872	0.585416616	0.2154468431	0.0121008218046	0.003265854548
u	0.018390815968	0.4086170942	0.2138270832	0.3193176034	0.0398474796747
ì	0.136287323304	0.2935760304	0.473699558	0.06482843032	0.03160862828
k	0.022821774926	0.09417498951	0.732125086	0.1271641542	0.023714016
a	0.00747813596	0.0584422696	0.5619826094	0.342609278	0.029487785888
n	0.00782398668	0.21945370061	0.2210720708	0.2507080204	0.3009420752
e	0.0246043505518	0.081485367212	0.1274416158	0.5235886572	0.242880111532
</S>	0.015507025102	0.096745482634	0.03425729108	0.16829346	0.685196636
