 	sono	stato	sempre	poveretti	</S>
ì	0.953952664	0.017948623322	0.004308827594	0.0080014543964	0.0157884212246
m	0.872364046	0.0515455343	0.012646341538	0.0147747639741	0.0486693054373
e	0.2267709892	0.593566392	0.0071549226484	0.006544484712	0.16596322047
s	0.1200878142	0.84316622	0.0271188896	0.005691636556	0.0039354530998
t	0.062550446008	0.750876978	0.0301552347	0.009790145	0.146627238257
a	0.105434875	0.738258262	0.03142909274	0.0330618737	0.0918158378115
m	0.0110670357	0.668497476	0.179838374	0.0716672188	0.0689298579
m	0.017303549884	0.586033358	0.1367597892	0.04967832834	0.210225169029
è	0.0574019846	0.634419872	0.0950536256	0.03113037548	0.181994117915
n	0.131287249314	0.3277635542	0.42894109806	0.0564023058	0.05560598968
a	0.15097748658	0.1332180062	0.540810575	0.0834713944	0.091522507514
p	0.0027721538344	0.06041155832	0.76001748	0.091136817	0.0856621934
à	0.0142652565952	0.033012300574	0.560607092	0.163207514	0.22890772124
n	0.0003560583665	0.00348004720035	0.828205042	0.0999988532	0.06796013234
t	0.0115511503908	0.023691352679	0.716713414	0.1416311392	0.10641288436
a	0.00618103104	0.01210052521	0.475950438	0.36325106	0.14251698088
t	0.0005225893944	0.006005020351	0.216534202	0.513824286	0.263114132
e	0.0104552583114	0.0134064553203	0.168693986	0.447713418	0.359730887012
c	0.0001938788062	0.00147741944501	0.1602399038	0.596467086	0.2416215954
h	0.00191399416418	0.0121883665455	0.1233162822	0.554385618	0.308195765185
ù	0.000804057284	0.00297800725	0.3093216126	0.4864817612	0.200414477544
d	0.000925221824022	0.00161110560168	0.009393552	0.893956308	0.0941138694
d	0.00636872022348	0.0110782761562	0.0235454048	0.863346194	0.09566140952
h	0.0190737242472	0.0132117293478	0.1498429258	0.673841818	0.1440299544
i	0.0163503625222	0.0386158940328	0.0530634648	0.43867042	0.45329998236
</S>	0.00104155836654	0.00208672475274	0.004529770662	0.2514378568	0.740903994
