 	le	canzone	si	scrivono	alla	notte	</S>
a	0.929752948	0.0418973808	0.003889271132	0.001796959026	0.0019822686516	0.0012972601732	0.0193838287594
t	0.72316527	0.242547724	0.0114340724516	0.0008095027668	0.000278297057878	0.000292925808075	0.0214722491513
r	0.12696469022	0.694571426	0.02070686014	0.10431867032	0.005342606012	0.0062695375112	0.0418262443068
a	0.388611332	0.530148332	0.03258102314	0.01383355372	0.01515015041	0.007353619576	0.012321959756
ù	0.3301548198	0.637734824	0.02632971372	0.002616076086	0.001293900844	0.00027339113037	0.0015971513656
d	0.032106031006	0.925823968	0.015578008	0.02267288766	0.001084483116	0.0005840317467	0.0021505937546
i	0.12672350586	0.567535624	0.0885790958	0.1056624928	0.02472010392	0.014204048	0.0725751714
a	0.03351714442	0.196713202	0.621729496	0.1236101292	0.011267847	0.00556966587	0.00759253826
g	0.001357716718	0.04554959376	0.82623766	0.0880199064	0.00965950074	0.002373519003	0.02680215956
r	0.006567786134	0.05259986044	0.367816052	0.265331646	0.101687615	0.10679068754	0.0992064384
à	0.0638038914	0.207942988	0.1989199116	0.1143404784	0.06624563328	0.040339438	0.308407692005
f	0.0113648780724	0.0694441982	0.1394014514	0.489682872	0.13818572404	0.06760846148	0.0843122954
u	0.0218165399402	0.065350845912	0.29153879732	0.383992226	0.1235811692	0.0494715988	0.06424864028
t	0.00643204072654	0.0012442551152	0.1538604512	0.2711233833	0.431021306	0.0421323418	0.09418628246
t	0.00924680898916	0.0232910619322	0.09255977172	0.3451294172	0.342465124	0.0730982266	0.114209666852
e	0.0066381370114	0.009589782284	0.05268491	0.140641339	0.2964231972	0.1577205854	0.336302216588
t	0.0054814055697	0.0006032888672	0.02159320448	0.086599828792	0.6152473	0.1342875632	0.1361873666
s	0.00656919164256	0.0124767513562	0.028873203672	0.1635855126	0.42923617	0.166331062	0.192928209675
e	0.0021992197106	0.0047141179728	0.01337791156	0.07060026029	0.249373637	0.313302948	0.346431978481
n	0.0012490863668	0.0005057230722	0.006287591464	0.016921473346	0.4711751892	0.2340345024	0.2698264926
ì	0.00397509479076	0.0081971107796	0.010997058966	0.03773063846	0.324944498	0.430458468	0.183697245974
t	0.000236115129039	0.00262759100072	0.003948201864	0.048866380382	0.1991654276	0.579857532	0.165298829
t	0.0011006132591	0.00231639404783	0.0024528745374	0.012899154006	0.1079650364	0.770330648	0.1029352514
a	0.00163814845417	0.0054626771618	0.00204202652	0.012349304904	0.0306490964	0.72318292	0.22467570906
</S>	0.00158953274654	0.000508496000768	0.001848148428	0.001050759158	0.12112627448	0.301858918	0.572017828
