 	vuole	pianto	</S>
i	0.6374963676	0.17568592122	0.186817705837
t	0.988234104	0.00223260924	0.00953337044
è	0.617004958	0.1739241676	0.209070893606
l	0.947387844	0.04450564886	0.0081065211
i	0.72999019	0.1724915742	0.09751829776
k	0.2059080467	0.72956912	0.0645228696
l	0.01441993766	0.581720748	0.403859355584
a	0.025519697	0.730219898	0.244260540952
m	0.01080468702	0.630783914	0.3584113112
m	0.004240153386	0.636772426	0.358987324042
è	0.02215665163	0.589377588	0.388465792673
n	0.0239276684	0.6705723214	0.3055000448
o	0.06559156298	0.523267307	0.411141188
</S>	0.00192497246	0.1565039972	0.841571
