 	le	buone	canzoni	si	scrivono	alla	notte	</S>
t	0.842079938	0.1313780472	0.00714466266	0.0014399745748	0.001755169858	0.000666022303	0.0005945383936	0.0149417010906
a	0.808743012	0.1425582098	0.03342854308	0.00187061701	0.000840331858	0.000477720594	0.0007490553184	0.01133246662
k	0.603007534	0.358685792	0.025881447	0.0038628116872	0.0024636280276	0.000274471868192	0.000153315983686	0.00567112686505
à	0.312347024	0.295573837	0.2718327466	0.0139300573	0.02119654354	0.007104903776	0.0095320935996	0.0684827314672
j	0.06902670864	0.818441438	0.0970803998	0.0026158276974	0.003784022782	0.00229767679	0.0024776731178	0.0042762149816
o	0.2741435926	0.6170795191	0.0398605335	0.00203094698	0.00280025813	0.001169675186	0.0040610855206	0.0588544725552
t	0.20397745862	0.56112578	0.20383146	0.024039128944	0.00228515531	0.0019439979996	0.00042761304326	0.00236945963
r	0.02269201944	0.268611772	0.566085466	0.04656284564	0.0217022292	0.01213037874	0.00688181042	0.0553334530598
a	0.0928367625	0.325958168	0.365524432	0.0634610793	0.01389657704	0.02685553626	0.010637953052	0.100829353698
v	0.014715550194	0.232753304	0.630501672	0.086319055	0.012767585	0.00636224804	0.00174983028266	0.014830752986
ù	0.014201735162	0.187093068	0.601362488	0.03193578694	0.05396370687	0.01019062478	0.01614925999	0.085103235708
d	0.00287563412	0.0742581168	0.81798223	0.02854494588	0.05890491444	0.009568376026	0.0018900087108	0.00597572519
i	0.0152948524	0.1333437206	0.6213811188	0.02225955386	0.02299148532	0.013932549432	0.033625040986	0.13717182378
a	0.008708650346	0.0366661044	0.2641144232	0.5542748832	0.0854079916	0.02792508382	0.0074271665752	0.0154757542
i	0.00111930389801	0.0051370597748	0.0735395014	0.75589772	0.1045338594	0.02620073786	0.0068190317126	0.026752792714
g	0.00078658784328	0.002070195002	0.0714535421	0.616061468	0.200215464	0.0717500678	0.009891077356	0.02777156251
r	0.004462180555	0.005297275	0.2121885124	0.2360838286	0.316035792	0.091058666	0.0680047854	0.06686903355
à	0.00851793177	0.02228322982	0.1543701454	0.1178537648	0.11698654	0.1479156876	0.0958227532	0.33624984818
f	0.0008705033478	0.01177543102	0.03782741502	0.0812385108	0.440379848	0.2299111092	0.09589064414	0.1021064622
u	0.0119525523228	0.0136883848447	0.0583566418	0.18181333412	0.45432877	0.160733892	0.0745369764	0.0445893812
t	0.00630127883182	0.0009218783898	0.001508905316	0.0983320382	0.2044085054	0.471510368	0.0845508548	0.13246599612
t	0.00684675811549	0.00582966362661	0.021311585112	0.06947232004	0.235815208	0.41132224	0.1250472498	0.124355090136
e	0.00222235919656	0.008584223785	0.00937151854	0.0376256085	0.0766338768	0.2902629836	0.204299332	0.370999920864
a	0.00310645597879	0.00060920611576	0.0008263733798	0.01926046304	0.047035264786	0.572043128	0.2179323608	0.1391868288
t	0.000446014523908	0.00175584823166	0.0083945124454	0.0174838838	0.05278617688	0.648742748	0.1805361608	0.08985466834
s	0.0006699802006	0.0010853425716	0.00447528494	0.01514810048	0.0450573548	0.559695538	0.2694063568	0.104462001453
è	0.00067393671538	0.00106180034444	0.003529981669	0.007704496614	0.020346366948	0.133284734	0.518957604	0.314441243258
n	0.000355112168647	0.00217953139162	0.001918510264	0.007916070624	0.020872870772	0.1206611202	0.626805628	0.2192911836
ì	0.00283476487977	0.00497840754266	0.00610999966892	0.0053841637936	0.02425293824	0.131018445	0.716014154	0.1094072064
t	0.000645533315575	0.000965344920991	0.00115038003891	0.0030385741006	0.011330792758	0.04976504174	0.732098586	0.2010057546
t	0.00497322967901	0.00111633001304	0.00123077954429	0.0009318694554	0.003522511628	0.0322812738	0.776064348	0.1798796469
a	0.000957419361915	0.00138970518366	0.0039648170068	0.000746268824	0.00889254115	0.01911184792	0.80232204	0.162615455634
</S>	0.00216515789566	0.00189751827411	0.00228931877022	0.0018236217296	0.00092598754306	0.063512312472	0.233044446	0.694341506
