 	lo	ho	finito	di	fare	</S>
t	0.884681378	0.0130653968	0.02140363782	0.0059748655926	0.0368582492284	0.0380165211108
o	0.868090382	0.01779923256	0.022630050452	0.0098601987	0.0010271304388	0.0805930849323
s	0.511265814	0.425234492	0.0168723912	0.00659489096	0.001651381726	0.03838097017
p	0.2043696362	0.22070105074	0.3542954408	0.03993044698	0.0285578511867	0.152145713803
ì	0.16109616756	0.1478988856	0.3257296466	0.18777621258	0.0458705817863	0.131628571748
c	0.0282997296	0.4456885	0.48648595	0.00943610932	0.008462162714	0.021627521332
c	0.068528773	0.1579451154	0.5903809334	0.017386687326	0.0229699243281	0.142788520056
e	0.0506642693	0.2337623614	0.477275152	0.011000792886	0.147847124285	0.0794503308551
t	0.0805771614852	0.1803861125	0.569900034	0.1269073462	0.00710071616	0.035128578988
s	0.027855574864	0.05078071474	0.562019969	0.1338066226	0.0402039268514	0.185333139728
a	0.0643594874	0.0992906776	0.297462344	0.269957777	0.039846564436	0.229083132773
a	0.01843021952	0.01527333638	0.102307009	0.75563814	0.0395754845	0.0687758508
t	0.00099548871708	0.00203556515	0.01684842886	0.84155565	0.0402108744	0.09835390408
s	0.00418169159318	0.00525426954	0.10653160838	0.432139192	0.08171842592	0.37017470369
è	0.008850656588	0.0047647675	0.05026155772	0.2682768596	0.169358670442	0.498487500089
k	0.002586506273	0.01351101438	0.0232226356	0.2023421	0.5289129328	0.22942472
à	0.00989974169908	0.0150506675932	0.04459601138	0.2984604232	0.5038746494	0.1281185885
m	0.00121585567928	0.0074157879216	0.00624603268	0.07543651	0.6898246026	0.2198612652
i	0.011464110452	0.0264616867394	0.03965962271	0.1853167634	0.6289648294	0.108133002
</S>	0.0097178460864	0.0009089006224	0.0039717976042	0.0325973678	0.270838538	0.681965644
