 	non	ho	dove	d	andare	</S>
e	0.798810906	0.02851715432	0.0044080598	0.0124587051612	0.03932234057	0.116482874846
n	0.585087992	0.2168777412	0.015460564272	0.0169625315718	0.0047505504496	0.160860802988
è	0.0222725129	0.3990328502	0.289587878	0.08751312494	0.09747477738	0.104118842008
c	0.0278204088	0.740987202	0.19759996	0.0106369896	0.00214566979	0.02080969927
h	0.07061049588	0.3250392408	0.51554154	0.0175499856	0.012578398004	0.058680417
o	0.028332140468	0.1125547298	0.799224612	0.01794876494	0.00614314656	0.035796692586
p	0.006475642332	0.108904953	0.626737262	0.1863945824	0.02746804192	0.04401952432
u	0.060623682944	0.04109331746	0.3776925516	0.2491093472	0.1282119892	0.143269112407
è	0.006045775991	0.010769587772	0.10362988828	0.70079627	0.1322127368	0.0465457534
n	0.0088928468848	0.019170856006	0.03548523304	0.59661097	0.302255904	0.0375842064
a	0.0024391675536	0.01166725755	0.0679204756	0.4468082092	0.432478612	0.0386862568
p	0.0010422468036	0.001182385251	0.004080801086	0.1375399252	0.724844972	0.1313095586
à	0.00424919888532	0.0082040304304	0.013777197832	0.1428376882	0.722146646	0.108785242532
o	0.000709095409335	0.0022348203194	0.0043454980456	0.0577061158	0.708961904	0.2260425494
</S>	0.0012865762702	0.0019772438934	0.0041538407832	0.00968359876	0.501902093	0.480996734
