 	che	vende	buon	pane	</S>
k	0.790375008	0.0341862748	0.01538546794	0.096090882848	0.0639624437174
a	0.633541006	0.1491252088	0.038299107088	0.0265095763734	0.152525240412
i	0.23958624	0.743135886	0.00735326	0.0018907247144	0.008033999486
p	0.017565002048	0.844478156	0.093541433	0.006604473392	0.037810838876
u	0.115102953814	0.2722828068	0.2895582008	0.1659135256	0.157142537358
l	0.06394784722	0.68832239	0.1505056605	0.03049078912	0.0667332874
ì	0.0632369792	0.3121464338	0.4471056806	0.0688917972	0.10861909244
t	0.00912489107	0.578446038	0.29028533	0.0480774586	0.0740662882
s	0.03954408694	0.2395813498	0.5048282932	0.1013088646	0.11473727436
o	0.0135738684	0.2012329944	0.2713901768	0.2272358452	0.28656703241
m	0.0367102879288	0.044196525366	0.0756656652	0.519732218	0.323695295
ì	0.0300940001644	0.042444614448	0.4041959764	0.365966324	0.157299006198
k	0.001374959214	0.0094960495	0.3403614602	0.38566493	0.2631026404
a	0.02383177479	0.030989915248	0.3633258154	0.42396324	0.15788931586
l	0.00850401678468	0.0026557750626	0.00648299582	0.557630588	0.424726822
ò	0.00311439862932	0.0029927330768	0.02416560418	0.458930026	0.510797165536
</S>	0.000272993501374	0.002792409421	0.0604982729003	0.25819119676	0.67824504
