 	non	so	cosa	stai	scrivendo	</S>
e	0.7985532	0.03182423224	0.0060266378	0.011380487514	0.036686490188	0.115528984855
n	0.5695696908	0.219036942	0.026495371102	0.015137541958	0.0305660336343	0.139194456519
e	0.07869373168	0.727617368	0.0943522516	0.0203776114	0.013877604	0.065081463628
t	0.1427086504	0.792261396	0.0490321346	0.009195130888	0.002213480354	0.0045892149
s	0.02888436978	0.716021194	0.1243467454	0.0254668732	0.01181732698	0.0934633590234
è	0.04162373688	0.495717314	0.1375852584	0.10963538752	0.03394242129	0.18149580676
r	0.0326630273	0.409085762	0.341972166	0.0885236014	0.0450626846	0.0826928504
o	0.07948975412	0.441007046	0.3449168056	0.0794222604	0.028862858	0.02630125348
e	0.0006776604436	0.045034782	0.601425662	0.2328592194	0.1055951408	0.01440755156
s	0.000738794567	0.00900540576	0.420993832	0.524667132	0.028793554624	0.01580138214
ù	0.006944914462	0.02074213354	0.1294037134	0.5181034	0.16117239094	0.163633372202
t	0.00049776453592	0.0084409890588	0.161790654768	0.641287564	0.1642189184	0.023764109844
i	0.00563730629643	0.0201318084	0.09885485924	0.669158684	0.1310214651	0.0751958288
s	0.0005667983092	0.002968460566	0.0441921546	0.504279006	0.31510349	0.132890014
t	0.00449328680736	0.0087341827752	0.02443090628	0.26300684	0.477771304	0.221563388404
e	0.002536981006	0.0086250596	0.0334901468	0.1100239592	0.47100392	0.374320067802
g	0.00043611135	0.00259581209074	0.0028576803986	0.027136067	0.691514534	0.2754597038
r	0.00689014666839	0.0138470369368	0.041326404664	0.120438628	0.517212824	0.300285015364
à	0.0043966182624	0.009962783544	0.01407709126	0.07918354344	0.449312568	0.443067337601
f	0.00190723473857	0.006253979266	0.0129913935914	0.0428610575	0.678578654	0.2574076388
i	0.0113566586358	0.0137330050413	0.0093930487088	0.07657035694	0.69476529	0.1941817296
</S>	0.0009530029732	0.0032390160794	0.0023668380072	0.004572103034	0.462357684	0.526511274
