 	e	che	cucino	</S>
c	0.843980344	0.00980588494	0.0843315757276	0.061882136114
e	0.67207675	0.0450368584	0.146180600366	0.136705732633
p	0.706784116	0.19295524352	0.036747922602	0.06351263394
u	0.1436717162	0.494258676	0.271887072194	0.09018263993
m	0.2530398388	0.414510104	0.19313619786	0.1393137202
a	0.0379861095	0.425302386	0.449334677504	0.0873768236426
r	0.17473177662	0.283071354	0.3507572082	0.19143965
è	0.0268530242	0.3005711404	0.4920737928	0.18050197654
o	0.0615662962	0.18116158874	0.447730296	0.309541828
</S>	0.0057706440568	0.09894375368	0.550600479	0.3446851248
