 	nella	pasta	vuole	sale	</S>
s	0.785419358	0.0292919149	0.00481118456	0.0381375852	0.142339934693
t	0.628592244	0.1922181534	0.019486904156	0.02445325916	0.135249454064
i	0.768152702	0.069845507	0.0116789305	0.01418384386	0.136139048593
p	0.414836364	0.489067642	0.04735275628	0.01820690658	0.0305362273749
à	0.0627190902	0.2941071628	0.2043328868	0.2551974988	0.183643169437
s	0.05091970332	0.71113158	0.150264279	0.02894710162	0.05873742346
t	0.070796115088	0.407366722	0.3711550032	0.0505068274	0.100175237802
a	0.0277739848	0.527917542	0.14037313393	0.1954037077	0.108531630106
t	0.00981577423	0.0984851352	0.71240103	0.1413305816	0.03796750516
è	0.0156972515439	0.02669523654	0.61834027	0.1086739962	0.230593320944
l	0.001644759604	0.01071505688	0.7542094	0.1762679218	0.0571628182
i	0.0189035228936	0.0280816884368	0.59102498	0.274987694	0.08700201174
à	0.0053924060146	0.002834035864	0.1106143516	0.691118454	0.190040722
l	0.000112887584088	0.00030919425958	0.02145509804	0.94484574	0.03327720552
a	0.00032975044532	0.00045338000192	0.01897004686	0.954687028	0.02555989396
</S>	0.000695469337886	0.0001402082426	0.00211494214	0.182595626	0.814453834
