 	la	casa	la	costruirono	i	muratori	</S>
o	0.93058036	0.0236818558	0.002501303248	0.005806761219	0.0017043070412	0.002333030425	0.0333925007921
s	0.601472686	0.384723168	0.006679969546	0.00247265718445	0.00208463384568	0.0004385020055	0.00212835966802
p	0.2729728136	0.5129401244	0.09160708006	0.04047228242	0.019286804808	0.00342831353	0.059292574724
ì	0.261903032	0.470492756	0.14588454646	0.0648224703	0.0259415271328	0.005844484158	0.0251110693242
t	0.0857591504	0.80382333	0.0718225936	0.02702637038	0.0010251169	0.000636563228	0.009906993768
i	0.1591620986	0.568177998	0.1218386134	0.0431290827	0.06736028846	0.00546682028	0.034865034252
o	0.00748319198	0.489079436	0.484795982	0.01216803114	0.00251018924	0.001048916272	0.002914319552
f	0.002055150318	0.0950495532	0.834795358	0.0523031048	0.008568540456	0.000810316356	0.006418042432
a	0.011055722678	0.0432867884	0.594233534	0.185971518	0.05201381594	0.03701473158	0.076423822632
b	0.002324421356	0.0580536692	0.770685738	0.127214493	0.01867603754	0.00711927988	0.015926461
b	0.0079192895506	0.04668913428	0.36339035	0.368845896	0.0350437082	0.01944311572	0.158668535175
r	0.06300556352	0.123718003	0.311424512	0.1759420106	0.02260005498	0.056762371752	0.246547623184
i	0.0675507032	0.156691174	0.155959332	0.2078132084	0.0197314366	0.056771461	0.335482822108
k	0.0035011261492	0.00963103076	0.159472648	0.682845952	0.0601953386	0.03532286556	0.0490309429
è	0.00805997871394	0.029135332938	0.0837322744	0.587439032	0.0951880438	0.04902838034	0.147417103934
t	0.0016336935387	0.00483004147	0.1498299644	0.72589421	0.070400133	0.01841016852	0.0290018712
s	0.016218526701	0.0203280947852	0.0882068202	0.56962994	0.0571499688	0.07301416492	0.17545251832
a	0.0100885486	0.0311438773	0.0456705116	0.450467508	0.0507317986	0.2129275796	0.1989701778
n	0.00231383441348	0.003381082017	0.00707888688	0.430656696	0.366519012	0.0968047044	0.093245897
e	0.00449305367764	0.00592395130568	0.0121153187	0.344847628	0.446458258	0.0758175796	0.110344256687
e	0.00275613966535	0.00464467714566	0.002726084382	0.1318536976	0.656734692	0.1310657468	0.07021902534
f	0.00042793066764	0.0036245934018	0.00497973541	0.0755201391	0.66036894	0.191621373	0.06345724614
a	0.0063717800356	0.0125806475496	0.003602125134	0.1138777948	0.45990259	0.316802876	0.08686233946
b	0.000920954448248	0.002086330497	0.001970674568	0.04524876754	0.263381876	0.566564474	0.11982689374
b	0.00236451267997	0.00738823892549	0.0019368919142	0.074272301308	0.146367485	0.528043674	0.239626936648
r	0.0163575292042	0.005910156116	0.0071408821	0.0578630816	0.0964920306	0.3945225928	0.421713633259
i	0.058298317988	0.010271723844	0.01297473334	0.1028800086	0.1134513552	0.330590676	0.3715332022
k	0.00456788098356	0.004455673461	0.0013028505046	0.0158217402	0.0510853944	0.687920536	0.2348459396
a	0.00441004080557	0.00559963904098	0.00187922238621	0.0024257375812	0.0259227558	0.84118924	0.11857333278
t	0.00200274261544	0.00265458400152	0.0007191655536	0.003917989982	0.05848524406	0.634552894	0.297667468
ù	0.000795764327948	0.001949566966	0.001920046265	0.0047392967694	0.03374427556	0.733567638	0.22328347734
r	0.000152720363737	0.000688739076757	0.0061218811244	0.003921403356	0.10668763014	0.650199936	0.232227676
i	0.00174769067733	0.00293612561523	0.0048017395935	0.0030095402592	0.01604284252	0.664038392	0.3074237
</S>	0.00113290295529	0.0029937686316	0.0012524183966	0.00311102753	0.01496783036	0.257529304	0.719012748
