 	voglio	che	Maria	venga	domani	</S>
i	0.731576716	0.1417118442	0.005011058956	0.017331419644	0.0488872847076	0.0554816906234
t	0.91074604	0.0442233718	0.0308656416	0.006299076886	0.00580964224	0.0020561699578
è	0.4564291872	0.0732475442	0.114825922294	0.0777692618206	0.080766455728	0.19696160568
l	0.90547262	0.0624243998	0.01902875836	0.004288282594	0.0043590158532	0.0044269275408
o	0.65194184	0.217317414	0.076874117666	0.00260694232	0.01628824878	0.034971559552
i	0.02873117226	0.752153654	0.1305903486	0.06363431084	0.01469407056	0.010196504716
M	0.004652561246	0.1070050176	0.683054946	0.0950793778	0.0527869086	0.057421169111
a	0.0767085742	0.4043797382	0.29595419352	0.10121050506	0.0728970714	0.0488500150252
r	0.025517361926	0.3480679234	0.365942785954	0.1463078744	0.0125047162	0.101659325899
ì	0.0416863644	0.343039216	0.2488572518	0.10173475376	0.0487520036	0.215930328236
a	0.05435822226	0.05919123856	0.3695992328	0.296624616	0.18793077546	0.0322959572
n	0.00674166929642	0.079679611534	0.41249251054	0.372792216	0.0711015124	0.05719255004
a	0.0288627089224	0.1407779224	0.1646863166	0.16301359	0.222995198	0.27966448912
r	0.0297353245604	0.16613144923	0.117367117734	0.493863218	0.1700998146	0.02280307802
t	0.125773729712	0.272543755364	0.0841145338	0.05679870362	0.1895193958	0.2712501005
i	0.1866645618	0.223027687	0.14684113368	0.0234189364	0.0151965226	0.404851290934
à	0.0384825789528	0.0823298271966	0.119319435818	0.26587324	0.270246006	0.2237488828
v	0.00077075481396	0.00092150637326	0.021189222372	0.16774649244	0.718079668	0.09129245016
v	0.00881606394201	0.0133326852477	0.01167027048	0.068935195456	0.731513496	0.165732342065
r	0.154289343091	0.093736960986	0.036480362476	0.1294437225	0.1319872858	0.4540622387
i	0.220116923638	0.152401381903	0.01827958124	0.046579277	0.06336858	0.49925420438
</S>	0.0788642620794	0.0208337317341	0.0114375250918	0.0196711578	0.02371937694	0.845473928
