 	la	donna	pulisce	la	casa	l	uomo	no	</S>
e	0.72727598	0.235337213	0.00960706922	0.002296955068	0.004009110828	0.00110629071	0.0022409987158	0.002008366375	0.0161181281411
j	0.495501104	0.4985706372	0.00354128814	0.000759534722	0.0004179318134	0.0002927043658	0.00029941035932	6.01260357599e-05	0.000557199427122
i	0.2535196374	0.2583506492	0.2844697656	0.043278842974	0.018832694666	0.004831221507	0.007506533248	0.005883842138	0.123326853532
n	0.166212611	0.809348026	0.017184899779	0.0011283284348	0.0007811728362	0.000444770727446	0.0031623048722	0.000618833615704	0.00111903183024
è	0.04441753668	0.70961478	0.1573796292	0.01862020972	0.01079636764	0.005794893006	0.0162274535386	0.017581739516	0.0195672658378
k	0.038791568	0.890242546	0.0435793136	0.00492905052	0.005720574474	0.001890642026	0.006541708228	0.0017687174572	0.006535822806
a	0.13531185048	0.739324988	0.0735214768	0.01067325318	0.00782803036	0.001629552094	0.001720130946	0.000740030364	0.029250710426
p	0.02313670412	0.334931236	0.553932898	0.0553859492	0.01597462608	0.00595212618	0.0054719394488	0.000767966176832	0.0044465261116
u	0.0136738155618	0.1099453954	0.623297834	0.1221899504	0.0484996564	0.0191054416	0.010808321356	0.0050662217574	0.0474133484712
l	0.002560118446	0.0388088582	0.84831854	0.0771535404	0.01922027212	0.00471703766	0.005980452646	0.00174118861587	0.0014999253471
i	0.0058871424758	0.0178467078	0.74892027	0.1309529032	0.044114311	0.00933590556	0.007120197738	0.010689257724	0.0251332866314
z	0.001541778954	0.00872222224	0.725047626	0.1929128032	0.0472590822	0.00880762486	0.00618999414	0.00504095444331	0.00447788328
z	0.0072615220842	0.0172310766	0.564903564	0.219129168	0.0651191742	0.02317334258	0.012864848994	0.014728638014	0.07558866163
è	0.0143296642	0.1118152818	0.483657128	0.143828342	0.0893456008	0.03207516286	0.00698767672	0.04035938134	0.0776016813495
i	0.0041969247168	0.03141385158	0.4069141	0.336904156	0.174316515	0.0172028782	0.01488971284	0.00920519952	0.00495660382
o	0.00044675442192	0.0010295901407	0.0718991556	0.558228886	0.275163402	0.0579306646	0.02797874004	0.0034522031017	0.003870535292
s	0.00026759349666	0.00159929983226	0.01040525412	0.3535282372	0.35909058	0.251748392	0.01370438254	0.00448483479818	0.005171534066
p	0.00154434121326	0.0016851248498	0.040646645	0.316917958	0.433886162	0.0496971256	0.009257881022	0.012680058786	0.133684690732
ì	0.0034946852072	0.00308839692	0.02459725748	0.133192651	0.2542884068	0.0479576196	0.0485326211	0.1123839326	0.372464285035
t	0.00169219547752	0.002223303692	0.022944159	0.215337214	0.586864988	0.0860331894	0.0288278615	0.03606021742	0.0200169818
i	0.0134318442786	0.00932526503646	0.02780756778	0.2487510526	0.407551206	0.092584538	0.0309825524	0.04470893072	0.12485709
o	0.00142584742043	0.000693888813356	0.002230168846	0.0481420716	0.267195398	0.545284046	0.0820704772	0.01127259486	0.04168543776
à	0.000267965388684	0.00155305026066	0.001717112086	0.02247898836	0.1508634116	0.615300552	0.1729286858	0.0196186131578	0.015271783886
n	0.00057963802792	0.0016413532692	0.0023161904888	0.0189942230768	0.126094879	0.28490462728	0.502175604	0.05304233728	0.0102511355092
t	0.00496871535439	0.00485266736099	0.0144047861496	0.04116259548	0.164616195	0.2149436842	0.3268082754	0.0639022112	0.16434110737
r	0.00446036483347	0.0054115222866	0.00703298106	0.01840427916	0.1010425354	0.092858914	0.187490059	0.213918104	0.369381200892
e	0.00394121331499	0.0065737830508	0.00750289416	0.0181010382	0.110776894	0.0626640124	0.2278049928	0.257862808	0.304772305526
p	0.00149694916808	0.00115443584936	0.002118850091	0.00680131176	0.02441315072	0.1356353324	0.302464064	0.2840551788	0.241860818
o	0.0069080495402	0.00802382966054	0.00434764383208	0.008851227095	0.02097836	0.1341221716	0.19677140874	0.287540916	0.332456508846
d	0.00258414814502	0.00128268809815	0.0032466411488	0.007273351926	0.019884024428	0.1404921594	0.27932726	0.405806876	0.1401028536
è	0.00436009371149	0.00587932400449	0.0037994396384	0.0039847192522	0.008973045628	0.04234631566	0.1571603246	0.544655766	0.228840821692
g	8.07690771439e-05	0.000181547344826	0.0002450083546	0.00166236415	0.005722853354	0.006706695092	0.408337084	0.459801382	0.1172621552
g	0.0020848389389	0.0022139347274	0.00195669234066	0.0021537085115	0.00439962696	0.02314251914	0.327220842	0.531705786	0.1051220918
h	0.00617445808966	0.00579183974752	0.004883850828	0.00747426876	0.0196285708	0.01538565682	0.2914408422	0.367452494	0.281768056768
e	0.0101556788243	0.00489556021855	0.003960717136	0.00497293318	0.00823683816	0.01928982092	0.2362339841	0.3754220276	0.336832500118
</S>	0.00523468612789	0.00170814661402	0.0017448211178	0.0024594987772	0.00401982022386	0.01681901877	0.05628098528	0.38245085	0.529282248
