 	ho	cosa	a	fare	</S>
è	0.76390644	0.176290212506	0.01398635706	0.027757656628	0.018059287938
c	0.461811512	0.313479724	0.057794202008	0.105882925755	0.061031513864
h	0.1189218972	0.527544476	0.08192516904	0.0808130921302	0.19079532174
o	0.1329457506	0.65939224	0.108514378412	0.0404209885	0.058726610474
t	0.08994091008	0.682231948	0.19173177	0.0038895087	0.032205768214
i	0.0513967737	0.51366691	0.204233445	0.03986179528	0.190840979992
k	0.015266092634	0.08510545294	0.778565	0.07689058986	0.0441728318
à	0.01204115682	0.0339458064	0.44067098	0.31911531028	0.19422674377
i	0.00734120432	0.018218158536	0.1835059454	0.551923706	0.23901099
</S>	0.0044364009918	0.009528719028	0.0644059214	0.360260288	0.561368822
