 	vuole	vuole	mangiato	caldo	</S>
t	0.82601077	0.063731738	0.004447253152	0.0308536523208	0.0749566274207
è	0.80652099	0.1051291124	0.04153061742	0.020076911378	0.026742477518
l	0.85672636	0.1184592968	0.010349611728	0.0062384850944	0.0082261930352
i	0.523086466	0.302154636	0.02129776312	0.07224156212	0.081219732334
t	0.335834939	0.58905168	0.0573001454	0.011003039384	0.00681032912
è	0.04534938904	0.7130957564	0.1104417948	0.02007186372	0.111041259179
l	0.0263436	0.88055018	0.080003066	0.0046680811366	0.008435038156
i	0.0469018556	0.664649258	0.1708546634	0.03086359854	0.086730672526
f	0.003044449392	0.0874406266	0.739966322	0.1480656076	0.0214829628
a	0.0154790110042	0.154140127	0.491989886	0.1660500074	0.172341099606
m	0.0021899215744	0.00948588758	0.455565684	0.36379209	0.1689664598
è	0.0160673823328	0.0440454214	0.454847524	0.232522564	0.252516999766
n	0.0065775074918	0.04519953826	0.398599	0.351134044	0.1984899132
o	0.0616266386672	0.1298726068	0.39816281	0.2593243564	0.1510134868
t	0.0007864769446	0.0008914474034	0.01356325298	0.791423764	0.19333509
r	0.0050952618875	0.006070484762	0.0214269713	0.490448842	0.476958525316
e	0.004987330808	0.0045873672	0.024499728264	0.72974824	0.236177342866
m	0.00042240551504	0.00053774892886	0.002092749196	0.516195328	0.4807517052
m	0.00234880155472	0.0028757799184	0.00704972788	0.51952259	0.468203135619
ò	0.0013495991248	0.0043501698086	0.035941233328	0.495343379	0.463015704194
</S>	0.0236579652713	0.0218803822704	0.051883162634	0.2720309368	0.630547634
