 	non	mi	aspetti	non	vengo	</S>
m	0.575974924	0.06062998558	0.0133021300252	0.00843177185692	0.224037263722	0.117623940282
ì	0.372093138	0.2314226298	0.22011095314	0.009652505306	0.0909184034088	0.0758023888145
m	0.2432809604	0.4933996754	0.0500765058	0.0159353828	0.181395601368	0.01591188254
e	0.0448157442	0.48715408	0.24959111038	0.023227480332	0.133879183016	0.06133247268
m	0.0453507214	0.7252973	0.1238475346	0.0188756878	0.038461597102	0.04816720657
ì	0.01989738	0.3291177088	0.4382109408	0.02704442922	0.107838248	0.0778914320662
n	0.053310643608	0.2523908268	0.497249704	0.09379971	0.063849241844	0.0393998104
i	0.0278511896	0.2223102208	0.44021404	0.0593754322	0.2035794138	0.0466696244
e	0.003757799678	0.01456303526	0.1116803452	0.770774892	0.0463793978	0.05284459966
n	0.003697684166	0.006507139764	0.086795572	0.56862414	0.2391968254	0.095178632786
è	0.004981786986	0.006659915672	0.0100565732	0.0803970202	0.743675564	0.154229013146
r	0.00419479430427	0.00832467425655	0.018658836278	0.2654313686	0.560979182	0.14241113686
k	0.0027844269054	0.00770695460236	0.019713409601	0.103987276298	0.834311266	0.03149666164
o	0.01543889223	0.031584465102	0.03025750432	0.08854221328	0.649578232	0.1845988426
m	0.00119535658086	0.00138493243576	0.0703949742344	0.1059662587	0.4361129234	0.384945442
e	0.00630228821566	0.0132002373066	0.052038760426	0.02519353386	0.666682902	0.23658230797
</S>	0.0006304774418	0.0010045692642	0.124638454656	0.02017188346	0.2258735012	0.627680958
