 	io	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
e	0.824521848	0.0245337656154	0.003737876949	0.0044650686527	0.00690409788946	0.017792765736	0.0430867661177	0.00479467469915	0.00655349658694	0.013514834476	0.0500947648897
v	0.944951862	0.03893196558	0.0030308372	0.00058717382872	0.0008373637452	0.0024527752018	0.00103612015416	9.2878357426e-05	8.9607146856e-05	0.000248980645976	0.00774043333526
ò	0.6068019168	0.10134405732	0.04379768432	0.09445685278	0.038610515028	0.011998050428	0.012089374966	0.016745763514	0.035833071692	0.007786229657	0.0305365087558
e	0.3345320608	0.495320714	0.101359816	0.0167035486	0.01107886948	0.01296256736	0.003477004978	0.0023357536188	0.0024053944104	0.0012160873536	0.0186080856346
n	0.0463117926	0.657243828	0.187432449	0.04175923594	0.007880235534	0.012273824612	0.0024487425432	0.0009567966072	0.0013251579854	0.00195724726454	0.0404107354566
ì	0.0652703708	0.136359138	0.5593263786	0.1700510224	0.01555392892	0.0114950644	0.0068517921	0.004642989618	0.001548696702	0.003070618434	0.0258300964
m	0.02454691656	0.1505999014	0.585850566	0.15108912516	0.04118019908	0.02387189762	0.0043477296902	0.001429160824	0.001561800984	0.0019329244998	0.013589791226
e	0.04361101966	0.1024520256	0.415158572	0.2800865372	0.028734952906	0.05197379204	0.0113123867754	0.006949440818	0.0030882774634	0.00296326723	0.0536697881952
g	0.0004431091468	0.02056623552	0.291925528	0.470662694	0.1342873134	0.0725638868	0.00317727027	0.003207685566	0.000885499596	0.0002793912536	0.002001369444
r	0.00438031613464	0.01099336386	0.2272188526	0.567577832	0.083355360952	0.02665715618	0.01701927596	0.016838610294	0.013176003374	0.00869883762	0.02408447905
a	0.00955964312	0.01120772072	0.0671816322	0.50827208	0.221821786908	0.047148499786	0.04065748416	0.00907006998	0.01856446316	0.00786419814	0.0586524441436
m	0.000385831448	0.000924686736	0.0334358811	0.34519793	0.445018992	0.1279556992	0.0149618486	0.00729051028	0.010541615866	0.0053449483068	0.0089420499
