 	vado	vestito	</S>
i	0.785756468	0.07138974802	0.142853773765
p	0.94509854	0.0178295311096	0.037071984566
à	0.374149350688	0.410272078	0.215578771148
o	0.87620188	0.08474377778	0.03905432188
n	0.1716110646	0.6206829268	0.207706082
d	0.053405146474	0.66234126	0.284253626591
i	0.07042943676	0.602439626	0.327130899335
m	0.0121915078	0.56821197	0.419596349
è	0.00561569756	0.83760089	0.156783350506
n	0.0062869266	0.618318924	0.375394086
o	0.045818322682	0.78787484	0.166306896
</S>	0.000983480556	0.1400531066	0.858963424
