 	non	ho	cosa	a	fare	</S>
e	0.777854984	0.02204788174	0.003565490962	0.016636129732	0.115063125779	0.0648323308681
n	0.59542341	0.1850389556	0.0324399302	0.0277706709152	0.0071984232766	0.15212856279
è	0.0446472398	0.364133369	0.3441199148	0.0946365192	0.0387435903944	0.113719593766
c	0.0240601894	0.747122466	0.1902403977	0.02419855908	0.003594257304	0.010784235872
h	0.08364327994	0.342589672	0.45095723	0.03062597452	0.037498985574	0.05468480012
o	0.02863544552	0.1994297406	0.601996728	0.0948102078	0.04204107411	0.033086839592
t	0.0029875750052	0.0482935192	0.643185322	0.251279506	0.0121590304	0.0420950288
i	0.032314238454	0.02282087274	0.524476704	0.2262125496	0.06803020023	0.126145286652
k	0.0036087546622	0.003170536328	0.12215493259	0.673491418	0.1310947928	0.0664794794
à	0.003802734828	0.017080519532	0.1375778544	0.432572082	0.28892442086	0.120042493789
i	0.003764791396	0.00472529904	0.03767277654	0.1704756746	0.548806928	0.234554482
</S>	0.002457933616	0.0030344073576	0.02107408643	0.078782287	0.35304995448	0.54160132
