 	non	ha	che	li	aspettiamo	</S>
e	0.69136169	0.0473580513	0.003405037	0.006145261698	0.0894063901594	0.162323598397
n	0.666545436	0.186610959	0.057733106302	0.030975942108	0.00695711044628	0.0511773631052
è	0.0960243538	0.6054134736	0.11633461	0.108138646	0.0069719540038	0.0671168595932
n	0.114174194	0.793235574	0.03257400612	0.0096241102	0.014034273352	0.03635791728
a	0.124814667	0.592275836	0.215128097	0.05029460174	0.00442559092	0.01306128408
t	0.0052545792	0.1028248336	0.54375978	0.251226888	0.0421590732	0.05477469772
u	0.011512499	0.0482031707	0.509244744	0.215338408	0.150891356163	0.0648099760878
s	0.00274937135	0.00492122484	0.1111282778	0.69750714	0.113763948	0.06993000168
m	0.035113060672	0.01484208226	0.1182329852	0.378059388	0.333729994092	0.120022463037
ì	0.01139378895	0.0494531181	0.0582374718	0.2997989084	0.374514999674	0.206601606407
n	0.0374242967592	0.02655050498	0.0384291146	0.3259396994	0.43532455	0.13633184
o	0.049055784764	0.061440867	0.090784473	0.5140821408	0.237074373	0.0475624086
m	0.00176249345626	0.00222948441996	0.00584755181	0.1550892054	0.4047638068	0.430307344
e	0.0082547322492	0.017317245164	0.056022256	0.346868206	0.32327984178	0.248257705328
</S>	0.00203522407946	0.0029484336664	0.001323914934	0.0356172929	0.3484678406	0.609607294
