 	non	aveva	dove	aveva	per	stare	</S>
e	0.836251974	0.0539330764	0.01034068098	0.002556416886	0.0025327624724	0.003335163844	0.091050033648
n	0.661199458	0.1566437061	0.01188061972	0.00853989966172	0.00175369485134	0.0248997300955	0.13508296
ì	0.05984111418	0.6169130938	0.0966484614	0.054600137	0.04026264844	0.01070130382	0.121033367667
c	0.013089098	0.910449606	0.0641515374	0.00626577262	0.0003744131564	0.000301048683	0.00536860278
h	0.02553779632	0.6582677	0.2274367682	0.02546193092	0.0033806695968	0.0370443436706	0.02287076654
e	0.01053523444	0.666455746	0.2920954608	0.0188667716	0.0008943987202	0.0005263130424	0.0106259211992
p	0.008389285948	0.06864740968	0.81795118	0.0549965546	0.01834299766	0.00260806706	0.02906445354
u	0.06283658455	0.027874644	0.4128456692	0.1381566406	0.0809098524	0.189129440892	0.0882471367706
ì	0.0224777110444	0.01812277887	0.24174059	0.548361538	0.0915567386	0.032575603	0.0451648958
c	0.0092006103494	0.008793954973	0.06697986932	0.774683728	0.078810395	0.033940855	0.0275906212
h	0.0031613030932	0.007122709054	0.0997774056	0.65427428	0.0806699578	0.12490377886	0.030090532398
e	0.00297577174	0.00867638568	0.1096525562	0.758604104	0.0863130066	0.0061269431	0.0276512714872
n	0.0054742053507	0.0018408878897	0.0090246488	0.0860441588	0.550876862	0.249403151	0.0973359802
a	0.00547805385936	0.0077247942304	0.010917437602	0.0329349368	0.578400082	0.3004397262	0.064105058416
s	0.00448102727814	0.00143420953354	0.002000910439	0.0065019578448	0.0933553551	0.771127736	0.1210986722
t	0.00642658485819	0.00479924745669	0.0055654032604	0.00649664552	0.2910589332	0.546860892	0.138792165241
a	0.0007035706888	0.00181743726888	0.00299458362	0.004307545574	0.19544808198	0.6855198242	0.109208778526
t	0.0002187890596	0.00032598928688	0.0003639409075	0.0004918508416	0.01255372674	0.88090454	0.1051412102
ì	0.00318174040729	0.00262161216208	0.00261072175996	0.002848895355	0.055120601	0.678603336	0.255013104834
</S>	0.000237971714671	0.0116574921038	0.00649224890435	0.018049054003	0.02621426836	0.1877922186	0.749556658
