 	l	ho	sentito	che	veniva	</S>
o	0.895058224	0.036326817424	0.0008005661666	0.0009728998394	0.025629070573	0.0412123364324
n	0.759849106	0.19850889174	0.031885204628	0.0049911594686	0.0023973412332	0.0023684534126
ì	0.246400088	0.2486046245	0.1722650485	0.0657798138	0.069900497	0.197049958572
k	0.0616248398	0.75552869	0.0888745182	0.014376994054	0.0147142912	0.06488060044
u	0.450329064	0.4212394548	0.09880575692	0.00898541552	0.01236876692	0.0082716814
s	0.045666245292	0.3544993422	0.285111596	0.250558196	0.0465484636	0.0176161576
a	0.0585227437086	0.13024458152	0.343574952	0.345282866	0.03256317352	0.0898117137536
k	0.0477943979708	0.021697830958	0.0804156808	0.622722056	0.16510304014	0.06226694568
a	0.0359143570518	0.017991992254	0.0817362022	0.5919715588	0.12968664334	0.142699456191
è	0.05774973429	0.006677538646	0.01351596516	0.4310543124	0.357968394	0.1330340334
r	0.00442928315794	0.018490364657	0.006019140862	0.0352556554	0.852141672	0.08366393864
k	0.00318773554107	0.0088304943148	0.0176801576256	0.180063028	0.751758096	0.038480495856
a	0.007383906694	0.01270110386	0.0159477816	0.0932806925	0.707644264	0.16304217508
t	0.0939539076517	0.0012740782435	0.00239308951752	0.078424090932	0.513026982	0.31092777
o	0.0205247469568	0.0108951978628	0.01616209783	0.0543238528	0.608740178	0.28935385139
</S>	0.0466445201323	0.0004304094373	0.001172557267	0.021765172058	0.273771246	0.656216164
