 	vengono	vestiti	</S>
è	0.703507	0.04849192594	0.248001082749
r	0.782396464	0.0499969625405	0.167606357507
k	0.644293892	0.21783717368	0.1378690557
u	0.312967047	0.323833181	0.36319972144
t	0.43944197752	0.46770622768	0.09285181316
t	0.1819342812	0.465316592	0.352749142938
e	0.082687219	0.57597475	0.341337823378
n	0.139844353754	0.605490018	0.2546656708
d	0.01158596832	0.610486149	0.377927767156
i	0.02142396168	0.632504174	0.3460717699
m	0.011251687868	0.601250106	0.38749834
è	0.0006557529354	0.772491686	0.22685257306
n	0.02575695154	0.559797926	0.41444511
a	0.0226791857658	0.6668208492	0.310499994
</S>	0.001193601903	0.149622935	0.849183428
