 	loro	non	vengono	non	li	aspettiamo	mangiamo	</S>
c	0.926559966	0.0295150743142	0.003928618204	0.001092768197	0.0019365411304	0.00283711817394	0.0037413309032	0.0303885956163
ì	0.915597792	0.0139995074	0.033445273712	0.00371907849838	0.00500977013994	0.00377651929177	0.0105513783033	0.0139005974894
n	0.961757	0.03267628676	0.00349665717	0.0003680397588	0.000345965372	8.22527512e-05	0.0003040749134	0.000969706642
i	0.75470827	0.0852010894	0.08058652348	0.0116896404	0.020784784898	0.007750759726	0.014521267594	0.02475772522
e	0.1708556516	0.762100874	0.0496119612	0.0053933648	0.008798052252	0.000805840104639	0.000587392221695	0.0018468552344
n	0.04919013168	0.501731634	0.362279678	0.02030361132	0.01454215574	0.00165903587	0.0042952380094	0.045998603302
è	0.04021348774	0.0318143228	0.705823784	0.03115795318	0.01779176646	0.008513977194	0.04555515352	0.119129505218
r	0.09507059734	0.1655710908	0.638508944	0.0399758132	0.01519430108	0.005883233522	0.00468247536	0.03511350728
k	0.041039704312	0.133417319386	0.646206852	0.053405705918	0.04621492514	0.007417306186	0.016571587632	0.0557265991128
o	0.1549580494	0.0808553	0.416302324	0.035740672	0.03069289786	0.02163356682	0.1173131177	0.14250403544
t	0.00303312747	0.01779628788	0.418087267	0.356219604	0.1133463594	0.0337132765	0.01372992734	0.0440741462
t	0.0177619965772	0.01693447526	0.505257366	0.1052361088	0.1376590936	0.0655612598	0.0303397222	0.12124998781
e	0.062925977564	0.0435491288	0.318272262	0.077031332	0.1288785448	0.081008982612	0.1491029984	0.139230829272
e	0.0029557388194	0.00351834432	0.1088320328	0.417319634	0.304183354	0.0865089028	0.04169501664	0.0349867627
t	0.00258045756892	0.003099338696	0.02998148948	0.228860228	0.578062624	0.0554312654	0.04508488282	0.05689967064
u	0.0101691403306	0.002379243728	0.0554748	0.0499197866	0.4544711656	0.1838356122	0.0802583672	0.163491798348
s	0.00454651206112	0.00199475623	0.00897846676	0.1218146508	0.409490754	0.199307706	0.21471238954	0.03915479874
m	0.00932610738699	0.0015561356146	0.026350228886	0.0217014352	0.254834304	0.2560709998	0.2169434916	0.21321703168
è	0.01273501887	0.00519203552	0.0187109182	0.0701998458	0.189438721	0.09584770884	0.277085798	0.330789983378
n	0.0384640887076	0.0140143167261	0.021136732522	0.07759445532	0.10357995006	0.196717724	0.3524390516	0.1960536608
o	0.0747213369296	0.0545704558718	0.048503225524	0.057725403	0.2280529904	0.0996708836	0.34662282	0.0901329094
m	0.00225674323296	0.0010510544758	0.0029465510762	0.01009103996	0.0842714142	0.1302520336	0.505391602	0.263739458
e	0.0163366437674	0.00559651682909	0.0094649729758	0.00842924418	0.0448166668	0.03470456826	0.645803506	0.234847834283
t	0.00426882637399	0.0010781814763	0.0029015590736	0.00277870028	0.018824323508	0.0352633664	0.554601074	0.3802839152
r	0.00267380213494	0.00198180821952	0.008388566894	0.00241040794	0.01722592654	0.0604541648	0.468908672	0.437956712654
ò	0.0118779532697	0.0052958264702	0.008263221773	0.01421569538	0.0381765674	0.01310307262	0.418750642	0.49031694314
m	0.00267924022352	0.00175280420131	0.018017244098	0.0164520196986	0.028934481788	0.074714614192	0.465503826	0.39194594
e	0.0933403565778	0.00599965933588	0.00604273960596	0.007418940072	0.02332933296	0.01426946798	0.698831888	0.1507676292
</S>	0.00250834364771	0.0010378510396	0.0029069927052	0.002371507842	0.008502034264	0.058726979374	0.298499652	0.625446482
